Rank,Issn,Journal Impact Factor,5-Year Impact Factor,Article Influence Score,,,
5155,1749-7922,1.473,Not Available,Not Available,,,
5158,0367-2530,1.472,1.663,0.470,,,
5158,1731-2302,1.472,1.548,0.550,,,
5158,0141-6421,1.472,1.580,0.480,,,
5161,1368-2822,1.471,1.785,0.554,,,
5161,1368-2822,1.471,1.785,0.554,,,
5163,1080-7683,1.470,1.560,0.429,,,
5164,1756-1841,1.469,1.705,0.437,,,
5164,0370-1972,1.469,1.407,0.483,,,
5164,1076-8971,1.469,2.539,0.997,,,
5164,1864-3361,1.469,Not Available,Not Available,,,
5164,1178-203X,1.469,Not Available,Not Available,,,
5169,0007-6503,1.468,2.103,0.806,,,
5169,0366-6352,1.468,1.168,0.214,,,
5169,0176-2680,1.468,1.783,0.789,,,
5169,0016-6723,1.468,2.178,0.787,,,
5169,0002-8487,1.468,1.879,0.605,,,
5174,0016-8025,1.467,1.486,0.766,,,
5175,1769-7212,1.466,1.592,0.585,,,
5175,1542-2321,1.466,1.504,0.378,,,
5175,0340-6253,1.466,1.357,0.560,,,
5175,0953-7287,1.466,1.733,0.281,,,
5175,0266-0032,1.466,2.143,0.635,,,
5180,0001-5970,1.465,1.627,0.519,,,
5181,1932-6157,1.464,2.305,2.167,,,
5181,1945-0265,1.464,1.336,0.335,,,
5181,0893-2174,1.464,2.105,0.612,,,
5181,1071-1023,1.464,1.188,0.363,,,
5181,1860-1480,1.464,1.378,0.332,,,
5181,0391-1977,1.464,1.166,0.327,,,
5187,1748-7188,1.463,2.155,1.112,,,
5187,1875-0281,1.463,Not Available,Not Available,,,
5187,1053-0770,1.463,1.549,0.429,,,
5187,1385-0237,1.463,1.900,0.606,,,
5187,0363-0129,1.463,1.776,1.443,,,
5192,1872-8855,1.462,1.487,0.445,,,
5192,0195-9298,1.462,1.477,0.449,,,
5192,1757-1146,1.462,1.994,0.584,,,
5192,1523-4614,1.462,2.389,1.633,,,
5192,1523-4614,1.462,2.389,1.633,,,
5192,0923-5965,1.462,1.554,0.562,,,
5198,0925-9864,1.461,1.603,0.383,,,
5198,0021-9509,1.461,1.413,0.526,,,
5198,0279-1072,1.461,1.574,0.455,,,
5198,1073-5615,1.461,1.484,0.435,,,
5198,1871-1871,1.461,1.672,0.474,,,
5203,1040-0419,1.460,1.619,0.412,,,
5204,1010-5395,1.459,1.378,0.383,,,
5204,1010-5395,1.459,1.378,0.383,,,
5204,1436-8730,1.459,1.743,0.512,,,
5207,1664-2201,1.458,2.108,0.633,,,
5207,0013-5585,1.458,0.873,0.249,,,
5207,0268-3768,1.458,1.693,0.347,,,
5207,1477-8920,1.458,1.673,0.523,,,
5207,1941-1022,1.458,1.983,0.611,,,
5207,1553-3506,1.458,1.501,0.487,,,
5213,1742-6405,1.457,Not Available,Not Available,,,
5213,0304-2421,1.457,1.333,0.813,,,
5213,0966-3274,1.457,1.616,0.520,,,
5216,0306-4379,1.456,1.618,0.654,,,
5217,1000-0569,1.455,1.745,0.342,,,
5217,0743-5584,1.455,1.738,0.751,,,
5217,1381-6810,1.455,1.195,0.394,,,
5217,0194-2638,1.455,1.869,0.574,,,
5217,0194-2638,1.455,1.869,0.574,,,
5222,1050-5164,1.454,1.531,1.875,,,
5222,0961-3218,1.454,2.156,0.626,,,
5222,1121-8428,1.454,1.444,0.398,,,
5222,0024-1164,1.454,1.951,0.691,,,
5222,0024-2829,1.454,1.482,0.359,,,
5222,1573-2479,1.454,1.530,0.478,,,
5228,0142-6001,1.453,2.352,1.204,,,
5228,1743-0585,1.453,1.484,0.480,,,
5228,0890-765X,1.453,1.771,0.652,,,
5228,0890-765X,1.453,1.771,0.652,,,
5228,0731-5724,1.453,2.867,0.821,,,
5228,1058-8183,1.453,1.541,0.395,,,
5234,1550-3585,1.452,1.645,0.993,,,
5234,1176-9343,1.452,1.465,0.520,,,
5234,0899-8493,1.452,2.085,0.644,,,
5234,1074-9357,1.452,1.702,0.529,,,
5238,0177-0667,1.451,1.274,0.450,,,
5238,0882-2786,1.451,2.768,0.777,,,
5238,1097-184X,1.451,1.545,0.762,,,
5238,0033-068X,1.451,1.530,0.629,,,
5242,1889-1861,1.450,1.314,0.295,,,
5242,0022-1481,1.450,1.686,0.540,,,
5242,0024-7766,1.450,1.567,0.441,,,
5242,1874-3900,1.450,1.549,0.342,,,
5246,0735-3936,1.449,1.725,0.621,,,
5246,1999-4907,1.449,1.738,0.496,,,
5246,0021-9924,1.449,1.864,0.589,,,
5246,0021-9924,1.449,1.864,0.589,,,
5246,0030-4018,1.449,1.452,0.383,,,
5251,0960-0779,1.448,1.251,0.351,,,
5251,0172-9179,1.448,1.607,0.491,,,
5251,1720-8386,1.448,1.684,0.451,,,
5251,1370-4621,1.448,1.412,0.377,,,
5251,0032-5473,1.448,1.763,0.562,,,
5251,1096-2964,1.448,1.772,0.551,,,
5257,1590-1874,1.447,1.341,0.373,,,
5257,0143-0343,1.447,1.550,0.395,,,
5259,1056-4926,1.446,1.651,0.772,,,
5259,1545-9616,1.446,1.382,0.341,,,
5259,1752-2439,1.446,1.390,0.496,,,
5259,0882-8245,1.446,1.587,0.425,,,
5263,0953-4180,1.445,1.752,0.522,,,
5264,0736-9387,1.444,2.113,0.895,,,
5264,1052-0295,1.444,1.386,0.283,,,
5264,2245-7070,1.444,1.000,0.359,,,
5264,0289-2316,1.444,1.115,1.587,,,
5264,0732-118X,1.444,1.405,0.486,,,
5269,0018-9162,1.443,2.181,1.099,,,
5269,1976-1457,1.443,1.476,0.352,,,
5271,0007-0955,1.442,1.816,1.024,,,
5271,1538-8506,1.442,Not Available,Not Available,,,
5273,0002-1962,1.441,1.912,0.558,,,
5273,1712-6568,1.441,1.568,0.603,,,
5273,1475-357X,1.441,1.314,0.428,,,
5273,1475-357X,1.441,1.314,0.428,,,
5273,0949-2984,1.441,1.692,2.196,,,
5273,0949-2984,1.441,1.692,2.196,,,
5273,1434-7229,1.441,1.268,0.256,,,
5273,1397-3142,1.441,1.566,0.504,,,
5273,1476-0835,1.441,2.188,0.782,,,
5273,1476-0835,1.441,2.188,0.782,,,
5273,1049-7323,1.441,1.869,0.603,,,
5284,1866-9956,1.440,1.731,0.353,,,
5284,0149-0451,1.440,1.962,0.610,,,
5284,2168-2194,1.440,1.448,0.318,,,
5284,1932-5223,1.440,1.616,0.494,,,
5284,0891-5245,1.440,1.890,0.584,,,
5284,0891-5245,1.440,1.890,0.584,,,
5284,1042-3680,1.440,1.735,0.569,,,
5291,1465-1165,1.439,2.000,1.463,,,
5291,1225-8873,1.439,1.514,0.418,,,
5291,0161-6412,1.439,1.481,0.401,,,
5291,1320-7881,1.439,1.503,0.439,,,
5291,1320-7881,1.439,1.503,0.439,,,
5291,1059-1478,1.439,2.116,0.929,,,
5291,0048-6604,1.439,1.278,0.574,,,
5291,1550-7424,1.439,2.075,0.634,,,
5291,1536-0040,1.439,1.731,1.025,,,
5300,1471-2091,1.438,1.953,0.641,,,
5300,1475-0961,1.438,1.457,0.420,,,
5300,1443-9506,1.438,1.441,0.474,,,
5300,1545-5963,1.438,1.605,0.602,,,
5300,0300-0605,1.438,1.371,0.355,,,
5300,0170-0839,1.438,1.587,0.297,,,
5300,1551-7411,1.438,1.536,0.345,,,
5300,0334-5114,1.438,1.508,0.439,,,
5308,1305-3825,1.436,1.379,0.399,,,
5308,0368-2048,1.436,1.631,0.544,,,
5308,0023-9690,1.436,1.333,0.527,,,
5311,0161-1461,1.435,2.087,0.732,,,
5312,0022-4391,1.434,2.104,0.650,,,
5312,0022-4391,1.434,2.104,0.650,,,
5312,0033-3506,1.434,1.623,0.549,,,
5312,0033-3506,1.434,1.623,0.549,,,
5316,0957-0233,1.433,1.534,0.499,,,
5316,1643-3750,1.433,1.298,0.293,,,
5316,0026-2714,1.433,1.336,0.351,,,
5316,1554-9178,1.433,1.729,0.524,,,
5316,1554-9178,1.433,1.729,0.524,,,
5321,1063-7737,1.432,1.025,0.474,,,
5321,1931-4523,1.432,1.500,1.140,,,
5321,0020-7608,1.432,1.191,0.335,,,
5321,0075-4102,1.432,1.378,2.329,,,
5325,2044-5911,1.431,1.555,0.552,,,
5325,1941-4900,1.431,1.248,0.198,,,
5325,0169-3913,1.431,1.732,0.650,,,
5328,1606-6359,1.430,1.400,0.445,,,
5328,1752-8054,1.430,1.755,0.639,,,
5328,0748-7711,1.430,2.447,0.742,,,
5328,0748-7711,1.430,2.447,0.742,,,
5328,1556-4959,1.430,2.109,0.789,,,
5328,0033-2720,1.430,1.583,0.484,,,
5328,1863-1703,1.430,1.335,0.287,,,
5335,0065-2156,1.429,7.846,4.561,,,
5335,0736-0258,1.429,1.639,0.506,,,
5335,0025-1747,1.429,1.665,0.506,,,
5338,1932-5150,1.428,1.083,0.212,,,
5338,0036-1399,1.428,1.622,1.042,,,
5338,2073-4441,1.428,1.751,0.474,,,
5341,1099-8004,1.427,1.564,0.472,,,
5341,1475-925X,1.427,1.989,0.526,,,
5343,0567-7351,1.426,0.709,0.118,,,
5343,0924-6460,1.426,2.105,1.074,,,
5343,1462-3889,1.426,1.814,0.517,,,
5343,1462-3889,1.426,1.814,0.517,,,
5343,0020-4277,1.426,1.991,0.852,,,
5343,1226-3303,1.426,Not Available,Not Available,,,
5343,0042-1138,1.426,1.211,0.292,,,
5350,1930-2126,1.425,1.774,0.367,,,
5350,0278-2391,1.425,1.756,0.501,,,
5350,1559-047X,1.425,1.501,0.439,,,
5350,2090-004X,1.425,1.720,0.501,,,
5354,0002-7766,1.424,1.061,0.392,,,
5354,0831-2796,1.424,1.669,0.469,,,
5354,1389-6563,1.424,1.438,0.753,,,
5357,0343-8651,1.423,1.587,0.420,,,
5357,1757-9139,1.423,1.340,0.501,,,
5359,1386-2588,1.422,1.916,0.615,,,
5359,1436-9990,1.422,0.930,0.206,,,
5359,1933-9747,1.422,Not Available,Not Available,,,
5359,0030-3747,1.422,1.312,0.367,,,
5359,0378-2697,1.422,1.545,0.422,,,
5359,0033-3204,1.422,2.377,0.909,,,
5365,0022-149X,1.421,1.333,0.352,,,
5365,1748-6815,1.421,1.551,0.446,,,
5365,0091-679X,1.421,1.682,0.672,,,
5365,0031-4056,1.421,2.023,0.639,,,
5369,0091-1798,1.420,1.701,2.418,,,
5369,1042-1629,1.420,1.425,0.598,,,
5371,1746-8094,1.419,1.376,0.285,,,
5371,0022-040X,1.419,2.140,3.445,,,
5373,0006-3444,1.418,2.281,2.936,,,
5373,0022-2895,1.418,1.695,0.570,,,
5373,0022-2895,1.418,1.695,0.570,,,
5373,1340-3540,1.418,1.240,0.384,,,
5377,0001-8368,1.417,1.474,0.582,,,
5377,2234-3806,1.417,1.417,0.395,,,
5377,0021-8464,1.417,1.455,0.387,,,
5377,0732-8303,1.417,1.011,0.250,,,
5377,0022-4898,1.417,1.695,0.460,,,
5377,0025-7753,1.417,1.192,0.227,,,
5377,1017-1398,1.417,1.430,0.720,,,
5377,1355-0306,1.417,1.489,0.409,,,
5385,0920-4105,1.416,1.624,0.488,,,
5385,0307-6962,1.416,1.307,0.397,,,
5385,0967-1994,1.416,1.323,0.370,,,
5388,0198-7569,1.415,1.771,0.485,,,
5388,1556-7265,1.415,1.422,0.452,,,
5390,1948-206X,1.414,1.676,2.571,,,
5390,0167-6105,1.414,1.864,0.553,,,
5390,1130-0108,1.414,1.289,0.304,,,
5393,1471-2490,1.413,Not Available,Not Available,,,
5393,0742-051X,1.413,1.684,0.588,,,
5393,1538-9588,1.413,1.465,0.595,,,
5393,1538-9588,1.413,1.465,0.595,,,
5397,0895-7177,1.412,1.588,0.504,,,
5397,0346-1238,1.412,1.212,0.912,,,
5397,0346-1238,1.412,1.212,0.912,,,
5400,1075-122X,1.411,1.625,0.548,,,
5400,0009-5893,1.411,1.191,0.262,,,
5400,1278-3218,1.411,1.040,0.145,,,
5400,0363-8715,1.411,1.513,0.529,,,
5400,0308-5961,1.411,1.685,0.473,,,
5400,0308-5961,1.411,1.685,0.473,,,
5400,1938-9736,1.411,1.448,0.435,,,
5407,0190-2148,1.410,1.500,0.430,,,
5407,1939-1412,1.410,1.728,0.499,,,
5407,0022-4669,1.410,1.935,0.824,,,
5410,1098-3007,1.409,2.060,0.771,,,
5410,0300-3604,1.409,1.403,0.331,,,
5410,0034-5288,1.409,1.517,0.417,,,
5410,0036-0112,1.409,2.009,0.772,,,
5414,1619-1366,1.408,1.596,0.604,,,
5414,1477-7819,1.408,1.489,0.359,,,
5416,1538-7135,1.407,1.468,0.596,,,
5416,1096-6374,1.407,1.836,0.543,,,
5416,1064-1955,1.407,1.326,0.435,,,
5416,0959-6119,1.407,1.963,0.358,,,
5416,0885-5765,1.407,1.790,0.430,,,
5421,0219-6220,1.406,1.753,0.432,,,
5421,0931-2439,1.406,1.417,0.389,,,
5421,0950-4230,1.406,1.626,0.398,,,
5421,0190-2725,1.406,3.276,1.822,,,
5425,1749-0774,1.405,1.093,0.279,,,
5425,1802-6222,1.405,1.087,0.469,,,
5425,1738-8228,1.405,0.871,0.202,,,
5428,0736-6299,1.404,1.991,0.425,,,
5429,0957-5235,1.403,1.391,0.401,,,
5429,1944-7442,1.403,1.745,0.396,,,
5429,1464-343X,1.403,1.755,0.468,,,
5432,0965-9978,1.402,1.584,0.549,,,
5432,0006-8055,1.402,1.643,0.427,,,
5432,0950-0804,1.402,1.727,1.114,,,
5432,1054-2523,1.402,1.394,0.223,,,
5432,1660-2110,1.402,1.683,0.570,,,
5432,1438-9029,1.402,1.223,0.318,,,
5438,1744-859X,1.400,Not Available,Not Available,,,
5438,1744-859X,1.400,Not Available,Not Available,,,
5438,0167-9473,1.400,1.510,0.934,,,
5438,0142-7237,1.400,Not Available,Not Available,,,
5438,0016-6707,1.400,2.082,0.661,,,
5438,1059-6011,1.400,2.869,1.218,,,
5438,0936-9902,1.400,1.171,0.336,,,
5438,1645-6726,1.400,0.794,0.475,,,
5438,1476-1270,1.400,2.268,1.291,,,
5438,1362-4806,1.400,1.877,0.989,,,
5448,1951-6355,1.399,1.525,0.662,,,
5448,0961-5539,1.399,1.312,0.260,,,
5448,1748-0221,1.399,1.287,0.483,,,
5448,1356-1820,1.399,1.515,0.337,,,
5448,1356-1820,1.399,1.515,0.337,,,
5453,0705-5900,1.398,1.574,0.674,,,
5453,0895-3996,1.398,1.304,0.270,,,
5453,0735-7028,1.398,2.006,0.660,,,
5453,1361-1682,1.398,1.347,0.415,,,
5457,1471-2482,1.397,1.809,0.552,,,
5457,1386-4157,1.397,3.136,2.712,,,
5457,1369-8575,1.397,1.475,0.407,,,
5457,0958-9287,1.397,1.954,1.089,,,
5457,1088-4246,1.397,1.603,0.326,,,
5457,1062-2551,1.397,Not Available,Not Available,,,
5457,1062-2551,1.397,Not Available,Not Available,,,
5457,0344-0338,1.397,1.428,0.353,,,
5465,0971-5916,1.396,1.926,0.503,,,
5465,1078-4659,1.396,1.344,0.495,,,
5467,1353-5773,1.395,1.730,0.492,,,
5467,1671-5411,1.395,Not Available,Not Available,,,
5467,0733-8619,1.395,1.586,0.579,,,
5467,0303-8300,1.395,1.875,0.619,,,
5471,0910-6340,1.394,1.375,0.282,,,
5471,1362-5187,1.394,1.393,0.416,,,
5471,0004-5411,1.394,3.224,3.318,,,
5471,0300-5623,1.394,1.411,0.402,,,
5475,0044-5991,1.393,1.239,0.279,,,
5475,1013-9087,1.393,1.064,0.300,,,
5475,1533-7146,1.393,1.465,0.728,,,
5478,0955-7997,1.392,1.450,0.505,,,
5479,0264-8725,1.391,1.600,0.518,,,
5479,1365-1501,1.391,1.013,0.286,,,
5481,0250-832X,1.390,1.534,0.467,,,
5482,0002-9629,1.389,1.361,0.442,,,
5482,0092-8240,1.389,1.553,0.629,,,
5482,1474-7049,1.389,1.593,0.572,,,
5482,1095-0680,1.389,1.494,0.317,,,
5482,1095-0680,1.389,1.494,0.317,,,
5482,1057-3631,1.389,1.314,0.364,,,
5482,1057-3631,1.389,1.314,0.364,,,
5489,1550-4859,1.388,2.521,0.989,,,
5489,0002-9254,1.388,1.822,0.497,,,
5489,1612-4782,1.388,1.818,0.603,,,
5489,1464-7141,1.388,1.585,0.366,,,
5489,1205-7088,1.388,1.799,0.573,,,
5494,0193-1091,1.387,1.397,0.375,,,
5494,0378-6323,1.387,1.368,0.346,,,
5494,0022-3468,1.387,1.539,0.463,,,
5497,1064-5462,1.386,1.453,0.454,,,
5497,0018-9464,1.386,1.395,0.403,,,
5497,1383-4649,1.386,1.461,0.661,,,
5497,1749-799X,1.386,Not Available,Not Available,,,
5497,1617-9625,1.386,Not Available,Not Available,,,
5497,1617-9625,1.386,Not Available,Not Available,,,
5503,1381-1118,1.385,2.354,0.754,,,
5503,0014-2336,1.385,1.726,0.426,,,
5505,0950-5423,1.384,1.655,0.378,,,
5505,0889-8545,1.384,1.735,0.621,,,
5505,1094-2025,1.384,1.912,3.089,,,
5508,1049-9091,1.383,1.456,0.451,,,
5508,1740-1453,1.383,1.521,0.927,,,
5508,1610-2878,1.383,1.341,0.694,,,
5508,1569-190X,1.383,1.421,0.357,,,
5512,0889-5406,1.382,1.981,0.569,,,
5512,0008-4271,1.382,1.337,0.411,,,
5514,0006-8047,1.381,1.197,0.509,,,
5514,0213-4853,1.381,1.164,0.248,,,
5516,1567-133X,1.380,1.872,0.736,,,
5516,0894-3230,1.380,1.332,0.334,,,
5516,0969-806X,1.380,1.404,0.322,,,
5519,1756-5529,1.379,1.558,0.581,,,
5519,1931-7204,1.379,1.568,0.613,,,
5519,1380-6653,1.379,2.007,1.269,,,
5519,0895-7967,1.379,1.722,0.623,,,
5519,1877-0533,1.379,1.259,1.116,,,
5524,0967-5868,1.378,1.483,0.451,,,
5524,1226-4512,1.378,1.324,0.272,,,
5524,0958-3440,1.378,1.527,0.506,,,
5524,0043-2296,1.378,1.536,0.485,,,
5528,0044-605X,1.377,1.690,0.501,,,
5528,2190-5444,1.377,1.403,0.421,,,
5528,0973-1458,1.377,0.931,0.121,,,
5528,0363-9061,1.377,1.590,0.741,,,
5528,0142-5463,1.377,Not Available,Not Available,,,
5528,1551-3777,1.377,Not Available,Not Available,,,
5528,1547-2450,1.377,1.514,0.529,,,
5535,1355-557X,1.376,1.509,0.429,,,
5536,0393-5965,1.375,1.556,0.384,,,
5536,1471-2253,1.375,Not Available,Not Available,,,
5536,0010-8367,1.375,1.151,0.448,,,
5536,1049-7315,1.375,1.729,0.565,,,
5540,1437-4781,1.373,1.576,0.402,,,
5540,0361-6878,1.373,1.197,0.566,,,
5540,0361-6878,1.373,1.197,0.566,,,
5540,0947-5117,1.373,1.329,0.346,,,
5544,1094-3412,1.372,1.370,0.526,,,
5544,1094-3412,1.372,1.370,0.526,,,
5544,1044-0046,1.372,0.893,0.228,,,
5547,0275-0740,1.371,1.429,0.730,,,
5547,1309-1042,1.371,1.437,0.392,,,
5547,0740-817X,1.371,1.582,0.765,,,
5547,0393-6155,1.371,1.476,0.297,,,
5551,0364-5916,1.370,1.831,0.598,,,
5551,1010-6049,1.370,Not Available,Not Available,,,
5551,0021-8936,1.370,1.248,0.493,,,
5554,0966-0410,1.369,1.573,0.526,,,
5555,1863-7221,1.368,Not Available,Not Available,,,
5555,0305-9049,1.368,1.885,1.404,,,
5555,0305-9049,1.368,1.885,1.404,,,
5555,0267-6583,1.368,1.559,0.626,,,
5555,1448-5028,1.368,1.545,0.530,,,
5555,1448-5028,1.368,1.545,0.530,,,
5555,1738-1584,1.368,1.352,0.298,,,
5562,0165-232X,1.367,1.680,0.461,,,
5562,1367-0484,1.367,1.803,0.431,,,
5562,1695-6133,1.367,1.821,0.664,,,
5562,0895-9811,1.367,1.678,0.531,,,
5562,0022-4901,1.367,1.509,0.339,,,
5562,0964-0568,1.367,1.512,0.472,,,
5562,1476-7058,1.367,1.401,0.438,,,
5569,1472-698X,1.366,1.683,0.526,,,
5569,0272-2712,1.366,1.746,0.569,,,
5569,1403-6096,1.366,Not Available,Not Available,,,
5569,1534-4843,1.366,Not Available,Not Available,,,
5569,1947-7988,1.366,1.407,0.452,,,
5569,1350-4126,1.366,1.738,0.902,,,
5575,1077-3525,1.365,1.287,0.436,,,
5575,1077-3525,1.365,1.287,0.436,,,
5575,0304-4238,1.365,1.785,0.406,,,
5578,0002-9432,1.364,2.026,0.697,,,
5578,0002-9432,1.364,2.026,0.697,,,
5578,0932-0067,1.364,1.300,0.383,,,
5578,0239-8508,1.364,1.081,0.240,,,
5578,1438-387X,1.364,1.561,0.447,,,
5578,0260-6917,1.364,1.806,0.294,,,
5578,0260-6917,1.364,1.806,0.294,,,
5578,0894-4393,1.364,1.889,0.825,,,
5578,0894-4393,1.364,1.889,0.825,,,
5587,0021-9665,1.363,1.218,0.277,,,
5587,1573-4064,1.363,1.388,0.300,,,
5589,0885-4513,1.362,1.585,0.408,,,
5589,0260-1230,1.362,1.618,0.497,,,
5589,1569-1721,1.362,1.659,1.275,,,
5592,1226-2617,1.361,Not Available,Not Available,,,
5592,1386-4238,1.361,Not Available,Not Available,,,
5592,0894-1912,1.361,1.668,0.549,,,
5592,0022-0736,1.361,1.313,0.345,,,
5596,2279-7254,1.360,1.372,0.203,,,
5596,0266-4909,1.360,2.192,0.824,,,
5598,0021-3640,1.359,1.200,0.464,,,
5599,0273-1177,1.358,1.332,0.498,,,
5599,0300-5577,1.358,1.597,0.547,,,
5601,0002-7294,1.357,1.500,0.787,,,
5601,2095-2201,1.357,1.302,0.338,,,
5601,1129-8596,1.357,0.713,0.132,,,
5604,0065-7743,1.356,1.695,0.548,,,
5604,0014-3022,1.356,1.619,0.525,,,
5604,1063-8210,1.356,1.403,0.617,,,
5604,1357-650X,1.356,1.335,0.336,,,
5604,0029-6562,1.356,2.043,0.647,,,
5604,0029-6562,1.356,2.043,0.647,,,
5604,0967-0106,1.356,2.078,0.976,,,
5604,0942-9352,1.356,1.137,0.360,,,
5612,0067-1924,1.355,1.257,0.373,,,
5612,0090-3558,1.355,1.402,0.417,,,
5612,1742-1705,1.355,1.399,0.477,,,
5612,0272-3638,1.355,1.549,0.629,,,
5616,1933-6837,1.354,1.371,3.098,,,
5616,0363-0242,1.354,1.515,0.507,,,
5618,2303-9027,1.353,1.353,0.179,,,
5618,1751-8687,1.353,1.866,0.586,,,
5618,0047-2778,1.353,2.409,0.712,,,
5618,1040-6387,1.353,1.377,0.419,,,
5622,0883-8151,1.352,1.440,0.707,,,
5622,0164-1212,1.352,1.485,0.537,,,
5624,1545-5971,1.351,1.652,0.716,,,
5624,0932-8092,1.351,1.473,0.471,,,
5624,0029-8018,1.351,1.731,0.555,,,
5624,0040-8727,1.351,1.433,0.352,,,
5628,0009-4293,1.349,1.110,0.337,,,
5628,0163-6383,1.349,2.100,0.732,,,
5628,1528-0837,1.349,1.471,0.334,,,
5628,0930-0708,1.349,1.708,0.623,,,
5628,1040-2004,1.349,1.359,0.394,,,
5633,0940-5550,1.348,1.083,0.238,,,
5633,0940-5550,1.348,1.083,0.238,,,
5633,2210-7703,1.348,1.499,0.353,,,
5633,0374-3535,1.348,1.232,0.656,,,
5633,1093-474X,1.348,2.226,0.699,,,
5633,0960-0833,1.348,1.469,0.641,,,
5633,0049-8246,1.348,1.227,0.369,,,
5640,1976-7633,1.347,1.220,0.421,,,
5640,0011-7315,1.347,2.506,0.929,,,
5642,0890-6327,1.346,1.477,0.599,,,
5642,1380-7501,1.346,1.374,0.336,,,
5644,1095-0761,1.345,1.825,1.028,,,
5644,1434-6028,1.345,1.366,0.538,,,
5644,0047-2336,1.345,0.938,0.493,,,
5647,0022-2186,1.344,1.825,1.670,,,
5647,1059-9630,1.344,1.849,0.394,,,
5647,1009-637X,1.344,1.493,0.349,,,
5647,1747-6585,1.344,1.280,0.354,,,
5651,1931-6690,1.343,2.443,2.039,,,
5651,0816-4622,1.343,1.235,0.347,,,
5651,0218-3013,1.343,0.658,0.240,,,
5651,0733-9402,1.343,1.288,0.227,,,
5651,1546-1955,1.343,1.066,0.134,,,
5651,0033-8362,1.343,1.348,0.409,,,
5651,1300-0152,1.343,1.212,0.224,,,
5658,1096-2247,1.342,1.560,0.487,,,
5658,1074-8407,1.342,1.663,0.380,,,
5658,1074-8407,1.342,1.663,0.380,,,
5661,0294-1449,1.341,1.809,2.348,,,
5661,1463-4996,1.341,1.282,0.915,,,
5661,1085-5629,1.341,2.395,0.736,,,
5664,1947-5535,1.340,1.352,0.229,,,
5664,1011-7571,1.340,1.122,0.255,,,
5664,0959-9436,1.340,1.197,0.248,,,
5664,0039-3665,1.340,2.142,0.955,,,
5668,0803-9488,1.339,1.497,0.418,,,
5668,0803-9488,1.339,1.497,0.418,,,
5670,1613-9372,1.338,1.901,0.708,,,
5670,0960-7439,1.338,1.531,0.436,,,
5670,0023-7639,1.338,1.780,0.921,,,
5673,0893-9659,1.337,1.469,0.576,,,
5673,1476-7120,1.337,1.458,0.488,,,
5673,1350-4827,1.337,1.811,0.754,,,
5673,0032-8332,1.337,1.425,0.378,,,
5677,0008-350X,1.336,1.536,0.457,,,
5677,0210-5691,1.336,1.016,0.173,,,
5677,1741-0541,1.336,1.243,0.342,,,
5677,0165-5752,1.336,1.228,0.311,,,
5681,0002-9645,1.335,1.538,0.473,,,
5681,0045-3102,1.335,1.802,0.492,,,
5681,1092-6429,1.335,1.235,0.350,,,
5684,0008-4182,1.333,1.337,0.399,,,
5684,0069-3138,1.333,1.667,0.446,,,
5684,0011-1287,1.333,2.085,1.067,,,
5684,0701-1784,1.333,1.272,0.420,,,
5684,0924-6703,1.333,1.202,0.713,,,
5684,1386-1999,1.333,1.500,1.034,,,
5684,0951-3590,1.333,1.372,0.351,,,
5684,0169-2070,1.333,1.944,0.946,,,
5684,1079-0268,1.333,1.824,0.546,,,
5684,1529-5192,1.333,1.848,0.719,,,
5684,1696-2281,1.333,1.133,0.516,,,
5684,2324-9935,1.333,1.357,0.586,,,
5684,2324-9935,1.333,1.357,0.586,,,
5697,0008-3674,1.332,1.478,0.703,,,
5697,0897-3806,1.332,1.315,0.400,,,
5699,0002-7316,1.329,1.609,0.492,,,
5699,0954-4119,1.329,1.530,0.418,,,
5699,0928-7655,1.329,2.037,1.131,,,
5699,0129-055X,1.329,1.251,1.057,,,
5703,1880-5981,1.328,1.791,0.839,,,
5704,0002-9092,1.327,1.701,0.867,,,
5704,0002-9092,1.327,1.701,0.867,,,
5704,1751-8253,1.327,1.522,0.269,,,
5704,1943-9342,1.327,1.260,0.696,,,
5704,0362-546X,1.327,1.579,0.720,,,
5704,1679-0073,1.327,1.342,0.456,,,
5710,0013-161X,1.326,1.650,0.740,,,
5710,1139-6709,1.326,2.102,0.606,,,
5710,0167-4544,1.326,1.915,0.518,,,
5713,1940-087X,1.325,Not Available,Not Available,,,
5713,1751-9918,1.325,Not Available,Not Available,,,
5715,0736-5829,1.324,1.542,0.413,,,
5715,0956-2478,1.324,2.074,0.633,,,
5715,1878-4755,1.324,1.765,0.685,,,
5715,1878-4755,1.324,1.765,0.685,,,
5719,0308-0501,1.323,1.454,0.421,,,
5719,1049-4820,1.323,1.643,0.607,,,
5719,0266-5611,1.323,1.950,1.105,,,
5719,1091-4358,1.323,1.734,0.719,,,
5719,1478-3363,1.323,1.482,0.145,,,
5724,0022-1236,1.322,1.516,1.686,,,
5724,1070-5325,1.322,1.491,1.059,,,
5726,0888-4080,1.321,1.978,0.756,,,
5726,8755-2930,1.321,1.474,0.798,,,
5726,0013-0079,1.321,1.595,1.519,,,
5726,0143-974X,1.321,1.699,0.538,,,
5730,1546-542X,1.320,1.393,0.347,,,
5730,1838-675X,1.320,1.236,0.338,,,
5732,0261-0183,1.319,1.530,0.722,,,
5732,1045-9243,1.319,1.357,0.767,,,
5732,0921-4526,1.319,1.246,0.309,,,
5732,2081-3856,1.319,Not Available,Not Available,,,
