"","Level","Points","Journal","ISSN","Econ","ABS","I","A","T"
"1647","Level IV",20,"Tarim Ekonomisi Dergisi/Turkish Journal of Agricultural Economics","1303-0183",1,NA,NA,NA,NA
"1648","Level IV",20,"Central Bank Review","1303-0701",1,NA,NA,NA,NA
"1649","Level IV",20,"Ege Akademik Bakis/Ege Academic Review","1303-099X",1,NA,NA,NA,NA
"1650","No Level",NA,"Anatolia: An International Journal of Tourism and Hospitality Research","1303-2917",NA,1,NA,NA,NA
"1651","Level IV",20,"Sosyoekonomi","1305-5577",1,NA,NA,NA,NA
"1652","Level IV",20,"Eskisehir Osmangazi Üniversitesi Iktisadi ve Idari Bilimler Fakültesi Dergisi","1306-6730",1,NA,NA,NA,NA
"1653","Level IV",20,"Finans Politik ve Ekonomik Yorumlar","1307-7112",1,NA,NA,NA,NA
"1654","Level IV",20,"Uluslararasi Iktisadi ve Idari Incelemeler Dergisi/International Journal of Economic and Administrative Studies","1307-9832",1,NA,NA,NA,NA
"1655","Level IV",20,"Çankiri Karatekin Üniversitesi Iktisadi ve Idari Bilimler Fakültesi Dergisi/Çankiri Karatekin University Journal of the Faculty of Economics and Administrative Sciences","1308-5549",1,NA,NA,NA,NA
"1656","Level IV",20,"Journal of Economic Cooperation and Development","1308-7800",1,NA,NA,NA,NA
"1657","Level IV",20,"International Econometric Review","1308-8793",1,NA,NA,NA,NA
"1658","Level IV",20,"Isletme ve Ekonomi Arastirmalari Dergisi/Business and Economics Research Journal","1309-2448",1,NA,NA,NA,NA
"1659","Level IV",20,"Eurasian Economic Review","1309-422X",1,NA,NA,NA,NA
"1660","Level IV",20,"Kafkas Üniversitesi &Idot;ktisadi ve &Idot;dari Bilimler Fakültesi/Kafkas University Journal of Economics and Administrative Sciences Faculty","1309-4289",1,NA,NA,NA,NA
"1661","Level IV",20,"Eurasian Business Review","1309-4297",1,1,NA,NA,NA
"1662","Level IV",20,"International Journal of Economics and Finance Studies","1309-8055",1,NA,NA,NA,NA
"1663","Level IV",20,"Economic Alternatives","1312-5281",1,NA,NA,NA,NA
"1664","Level IV",20,"Economics and Management","1312-594X",1,NA,NA,NA,NA
"1665","Level IV",20,"Journal of International Research Publications: Economy and Business","1313-8006",1,NA,NA,NA,NA
"1666","Level IV",20,"Economia (Universidad de Los Andes): Nueva Etapa","1315-2467",1,NA,NA,NA,NA
"1667","Level IV",20,"Agroalimentaria","1316-0354",1,NA,NA,NA,NA
"1668","Level IV",20,"IB Revija","1318-2803",1,NA,NA,NA,NA
"1669","Level IV",20,"Islamic Economic Studies","1319-1616",1,NA,NA,NA,NA
"1670","Level IV",20,"Journal of Industry Studies","1320-6095",1,NA,NA,NA,NA
"1671","No Level",NA,"Small Enterprise Research","1321-5906",NA,1,NA,NA,NA
"1672","No Level",NA,"Asian Review of Accounting","1321-7348",NA,2,NA,NA,NA
"1673","Level IV",20,"Australian Commodities Forecasts and Issues","1321-7844",1,NA,NA,NA,NA
"1674","Level IV",20,"Agenda","1322-1833",1,NA,NA,NA,NA
"1675","Level IV",20,"Australasian Journal of Regional Studies","1324-0935",1,NA,NA,NA,NA
"1676","Level IV",20,"Journal of Economic and Social Policy","1325-2224",1,NA,NA,NA,NA
"1677","Level IV",20,"Asia Pacific Journal of Economics and Business","1326-8481",1,NA,NA,NA,NA
"1678","Level IV",20,"Australian Journal of Labour Economics","1328-1143",1,1,NA,NA,NA
"1679","Level IV",20,"Australian Journal of Labour Economics","1328-1143",1,1,NA,NA,NA
"1680","No Level",NA,"Journal of Systems and Information Technology","1328-7265",NA,1,NA,NA,NA
"1681","Level IV",20,"Ekonomska Misao i Praksa","1330-1039",1,NA,NA,NA,NA
"1682","Level IV",20,"Privredna Kretanja i Ekonomska Politika","1330-187X",1,NA,NA,NA,NA
"1683","Level IV",20,"Croatian Economic Survey","1330-4860",1,NA,NA,NA,NA
"1684","Level IV",20,"Tourism and Hospitality Management","1330-7533",1,NA,NA,NA,NA
"1685","Level IV",20,"Management","1331-0194",1,1,NA,NA,NA
"1686","Level IV",20,"Zagreb International Review of Economics and Business","1331-5609",1,NA,NA,NA,NA
"1687","Level IV",20,"Zbornik Radova Ekonomskog Fakulteta u Rijeci: Casopis za Ekonomsku Teoriju i Praksu/Proceedings of Rijeka School of Economics: Journal of Economics and Business","1331-8004",1,NA,NA,NA,NA
"1688","Level IV",20,"Financijska Teorija i Praksa/Financial Theory and Practice","1332-3970",1,NA,NA,NA,NA
"1689","No Level",NA,"Tourism: An International, Interdisciplinary Journal","1332-7461",NA,1,NA,NA,NA
"1690","Level IV",20,"Zbornik Ekonomskog Fakulteta u Zagrebu","1333-8900",1,NA,NA,NA,NA
"1691","Level IV",20,"Interdisciplinary Description of Complex Systems","1334-4684",1,NA,NA,NA,NA
"1692","Level IV",20,"Nomura Research Institute Quarterly Economic Review","1340-7880",1,NA,NA,NA,NA
"1693","Level IV",20,"Journal of Chinese Economic Studies","1348-2521",1,NA,NA,NA,NA
"1694","Level IV",20,"Pacific Journal of Optimization","1348-9151",NA,1,0.640666666666667,0.411666666666667,0.524666666666667
"1695","Level IV",20,"Japan Labor Review","1348-9364",1,NA,NA,NA,NA
"1696","Level IV",20,"Evolutionary and Institutional Economics Review","1349-4961",1,NA,NA,NA,NA
"1697","Level IV",20,"Kyoto Economic Review","1349-6786",1,NA,NA,NA,NA
"1698","Level II",60,"Journal of European Public Policy","1350-1763",NA,3,3.87966666666667,1.469,3.54266666666667
"1699","Level IV",20,"Journal of Economic Methodology","1350-178X",1,2,NA,NA,1.059
"1700","Level II",60,"Information Systems Journal","1350-1917",NA,3,5.13766666666667,1.208,3.91366666666667
"1701","No Level",NA,"Journal of Brand Management","1350-231X",NA,2,NA,NA,1.72933333333333
"1702","Level IV",24.5663296388261,"Applied Economics Letters","1350-4851",1,1,0.687333333333333,0.191,0.615666666666667
"1703","Level IV",20,"Applied Mathematical Finance","1350-486X",1,2,NA,NA,NA
"1704","Level III",40,"European Journal of Women’s Studies","1350-5068",NA,2,1.707,0.549333333333333,1.34033333333333
"1705","Level II",60,"Management Learning","1350-5076",NA,3,2.512,0.500333333333333,1.877
"1706","Level II",60,"Organization","1350-5084",NA,3,3.77833333333333,1.13333333333333,2.67466666666667
"1707","Level IV",20,"Economic and Financial Modelling","1350-7419",1,NA,NA,NA,NA
"1708","Level II",60,"Occupational and Environmental Medicine","1351-0711",NA,3,4.08733333333333,1.298,3.78166666666667
"1709","Level IV",20,"Economic and Financial Review","1351-3621",1,NA,NA,NA,NA
"1710","Level IV",24.5427668773513,"Asian Economic Journal","1351-3958",1,1,0.662333333333333,0.197666666666667,0.455333333333333
"1711","Level IV",20,"Communist Economies and Economic Transformation","1351-4393",1,NA,NA,NA,NA
"1712","Level II",60,"European Journal of Finance","1351-847X",1,3,1.276,0.373,1.063
"1713","No Level",NA,"Qualitative Market Research: An International Journal","1352-2752",NA,2,NA,NA,NA
"1714","Level IV",24.8743552585038,"Japanese Economic Review","1352-4739",1,1,0.514,0.264666666666667,0.357333333333333
"1715","Level IV",20,"International Journal of Heritage Studies","1352-7258",NA,1,1.558,0.252333333333333,1.35033333333333
"1716","No Level",NA,"Journal of Marketing Communications","1352-7266",NA,1,NA,NA,NA
"1717","No Level",NA,"Team Performance Management","1352-7592",NA,1,NA,NA,NA
"1718","Level I-C",95.5472583329747,"European Journal of International Relations","1354-0661",1,NA,3.73333333333333,1.704,2.925
"1719","Level III",59.2997273027573,"Feminist Economics","1354-5701",1,2,2.13466666666667,0.762666666666667,1.51466666666667
"1720","Level II",60,"European Financial Management","1354-7798",1,3,1.76233333333333,0.579333333333333,1.31466666666667
"1721","Level IV",25.2658151194518,"Journal of the Asia Pacific Economy","1354-7860",1,1,0.794666666666667,0.179,0.723666666666667
"1722","Level III",40,"Tourism Economics","1354-8166",1,2,1.38066666666667,0.196,1.28633333333333
"1723","No Level",NA,"Journal of Quality in Maintenance Engineering","1355-2511",NA,1,NA,NA,NA
"1724","No Level",NA,"International Journal of Entrepreneurial Behavior and Research","1355-2554",NA,2,NA,NA,2.59433333333333
"1725","Level III",53.6705299160512,"Environment and Development Economics","1355-770X",1,2,1.856,0.659666666666667,1.30333333333333
"1726","Level IV",31.1339856283111,"Journal of Health Services Research and Policy","1355-8196",NA,1,2.25433333333333,0.830333333333333,2.24666666666667
"1727","Level III",40,"Teaching in Higher Education","1356-2517",NA,2,1.903,0.397666666666667,1.72233333333333
"1728","No Level",NA,"Corporate Communications: An International Journal","1356-3289",NA,1,NA,NA,NA
"1729","Level II",74.5589063584698,"New Political Economy","1356-3467",1,3,2.91333333333333,1.075,2.94833333333333
"1730","Level III",40,"Evaluation","1356-3890",NA,2,2.31833333333333,0.619333333333333,1.69633333333333
"1731","Level IV",22.9885643167708,"Journal of Vacation Marketing","1356-7667",NA,1,2.58,0.305,1.99166666666667
"1732","Level IV",20,"International Journal of the Economics of Business","1357-1516",1,2,NA,NA,NA
"1733","Level IV",20,"British Actuarial Journal","1357-3217",1,1,NA,NA,NA
"1734","Level IV",20,"Risk Decision and Policy","1357-5309",1,NA,NA,NA,NA
"1735","No Level",NA,"Journal of Financial Regulation and Compliance","1358-1988",NA,1,NA,NA,NA
"1736","No Level",NA,"Tertiary Education and Management","1358-3883",NA,1,NA,NA,NA
"1737","Level IV",20,"Journal of Energy Literature","1359-3714",1,NA,NA,NA,NA
"1738","Level II",60,"European Journal of Work and Organizational Psychology","1359-432X",NA,3,3.43666666666667,1.04333333333333,2.70066666666667
"1739","No Level",NA,"Regional and Federal Studies","1359-7566",NA,1,NA,NA,NA
"1740","Level II",60,"Supply Chain Management: An International Journal","1359-8546",NA,3,7.23566666666667,1.04533333333333,4.28466666666667
"1741","Level IV",20,"Journal of Higher Education Policy and Management","1360-080X",1,1,NA,NA,1.021
"1742","Level IV",20,"Oxford Development Studies","1360-0818",1,2,NA,NA,NA
"1743","Level III",40,"Asia Pacific Business Review","1360-2381",1,2,1.24,0.192,0.878
"1744","No Level",NA,"Managing Leisure: An International Journal","1360-6719",NA,1,NA,NA,NA
"1745","No Level",NA,"Journal of Fashion Marketing and Management","1361-2026",NA,1,NA,NA,NA
"1746","Level III",40,"Pacific Economic Review","1361-374X",1,2,0.665,0.239666666666667,0.502666666666667
"1747","Level II",60,"European Review of Economic History","1361-4916",1,3,1.22366666666667,0.857333333333333,1.05433333333333
"1748","Level II",80.1097297320109,"Transportation Research: Part D: Transport and Environment","1361-9209",1,3,4.37433333333333,0.879,4.02433333333333
"1749","Level III",40,"Career Development International","1362-0436",NA,2,2.67166666666667,0.578,1.86866666666667
"1750","Level III",40,"Career Development International","1362-0436",NA,2,2.67166666666667,0.578,1.86866666666667
"1751","No Level",NA,"Historical Studies in Industrial Relations","1362-1572",NA,1,NA,NA,NA
"1752","No Level",NA,"Journal of Financial Services Marketing","1363-0539",NA,1,NA,NA,NA
"1753","No Level",NA,"Journal of Communication Management","1363-254X",NA,1,NA,NA,NA
"1754","No Level",NA,"Corporate Reputation Review","1363-3589",NA,1,NA,NA,NA
"1755","Level III",40,"Review of Development Economics","1363-6669",1,2,0.769,0.242333333333333,0.699
"1756","No Level",NA,"Journal of Vocational Education and Training","1363-6820",NA,1,NA,NA,NA
"1757","Level IV",20,"Economic Issues","1363-7029",1,1,NA,NA,NA
"1758","No Level",NA,"Journal of Education and Work","1363-9080",NA,2,NA,NA,NA
"1759","No Level",NA,"International Journal of Innovation Management","1363-9196",NA,2,NA,NA,NA
"1760","Level III",40,"Policing: An International Journal of Police Strategies and Management","1363-951X",NA,2,1.4,0.372666666666667,1.10366666666667
"1761","Level III",45.9109257546991,"Australian Journal of Agricultural and Resource Economics","1364-985X",1,2,1.769,0.443,1.414
"1762","Level III",40.2461727797768,"Macroeconomic Dynamics","1365-1005",1,2,0.990666666666667,0.543,0.837666666666667
"1763","Level IV",20,"Aquaculture Economics and Management","1365-7305",1,NA,NA,NA,NA
"1764","Level III",59.8497986752115,"Industry and Innovation","1366-2716",1,2,2.62,0.638,2.61533333333333
"1765","Level II",88.9329949642836,"Transportation Research: Part E: Logistics and Transportation Review","1366-5545",1,3,4.74166666666667,1.093,4.07733333333333
"1766","No Level",NA,"Journal of Workplace Learning","1366-5626",NA,1,NA,NA,NA
"1767","No Level",NA,"Community, Work and Family","1366-8803",NA,1,NA,NA,NA
"1768","Level III",40,"Journal of Risk Research","1366-9877",NA,2,1.59966666666667,0.401333333333333,1.66866666666667
"1769","Level IV",38.7948602368209,"International Finance","1367-0271",1,NA,1.02833333333333,0.471,0.668666666666667
"1770","Level III",40,"Journal of Knowledge Management","1367-3270",NA,2,4.289,0.407,3.96666666666667
"1771","Level IV",20,"Teaching Business and Economics","1367-3289",1,NA,NA,NA,NA
"1772","Level IV",23.4637547301681,"International Journal of Logistics: Research and Applications","1367-5567",NA,1,2.311,0.361,2.26666666666667
"1773","No Level",NA,"Human Resource Development International","1367-8868",NA,2,NA,NA,NA
"1774","Level IV",20,"Information Research","1368-1613",NA,1,0.868333333333333,0.144333333333333,0.774666666666667
"1775","No Level",NA,"International Journal of Healthcare Technology and Management","1368-2156",NA,1,NA,NA,NA
"1776","No Level",NA,"International Journal of Entrepreneurship and Innovation Management (IJEIM)","1368-275X",NA,1,NA,NA,NA
"1777","No Level",NA,"Measuring Business Excellence","1368-3047",NA,1,NA,NA,NA
"1778","Level III",40,"Current Issues in Tourism","1368-3500",NA,2,4.16133333333333,0.553333333333333,3.668
"1779","Level II",71.0650015217022,"Econometrics Journal","1368-4221",1,3,1.407,1.94066666666667,1.47933333333333
"1780","Level III",40,"Group Processes and Intergroup Relations","1368-4302",NA,2,2.55366666666667,1.07933333333333,2.47
"1781","No Level",NA,"International Journal of Business Performance Management","1368-4892",NA,1,NA,NA,NA
"1782","Level IV",20,"Venture Capital","1369-1066",1,2,NA,NA,NA
"1783","Level III",49.1122959642814,"Information, Communication and Society","1369-118X",NA,2,4.81866666666667,1.42866666666667,3.92233333333333
"1784","Level IV",23.7855145671169,"Social Science Japan Journal","1369-1465",1,NA,0.655333333333333,0.182666666666667,0.754
"1785","Level III",45.9748790467101,"Journal of International Economic Law","1369-3034",1,NA,1.558,0.505,1.82
"1786","Level IV",38.8544039777195,"International Review of Finance","1369-412X",1,NA,1.176,0.413666666666667,0.872333333333333
"1787","Level IV",20,"Business and Politics","1369-5258",1,NA,NA,NA,NA
"1788","Level I-A",150,"Journal of the Royal Statistical Society: Series B (Statistical Methodology)","1369-7412",1,5,5.14266666666667,5.62966666666667,3.379
"1789","Level IV",20,"Annals of Public and Cooperative Economics","1370-4788",1,2,NA,NA,NA
"1790","Level IV",20,"Économie Publique","1373-8496",1,NA,NA,NA,NA
"1791","Level IV",20,"Revue de Philosophie Economique/Review of Economic Philosophy","1376-0971",1,NA,NA,NA,NA
"1792","Level IV",20,"Revue de Philosophie Economique","1376-0971",1,NA,NA,NA,NA
"1793","Level IV",20,"Financial Engineering and the Japanese Markets","1380-2011",1,NA,NA,NA,NA
"1794","Level III",40,"Review of Derivatives Research","1380-6645",1,2,0.666666666666667,0.323,0.382333333333333
"1795","Level I-B",120,"Review of Accounting Studies","1380-6653",1,5,3.15766666666667,1.66933333333333,2.09866666666667
"1796","Level II",60,"Journal of Heuristics","1381-1231",NA,3,1.88866666666667,0.649,1.366
"1797","Level I-A",150,"Journal of Economic Growth","1381-4338",1,3,6.46166666666667,4.93166666666667,5.74966666666667
"1798","No Level",NA,"International Negotiation: A Journal of Theory and Practice","1382-340X",NA,1,NA,NA,NA
"1799","Level IV",20,"European Finance Review","1382-6662",1,NA,NA,NA,NA
"1800","Level III",40,"Journal of Combinatorial Optimization","1382-6905",NA,2,0.932333333333333,0.460666666666667,0.862
"1801","Level IV",20,"Journal of Policy Reform","1384-1289",1,NA,NA,NA,NA
"1802","Level IV",20,"Journal of Management and Governance","1385-3457",1,1,NA,NA,NA
"1803","Level IV",20,"Netnomics","1385-9587",1,1,NA,NA,NA
"1804","Level II",88.2691458488436,"Experimental Economics","1386-4157",1,3,2.56033333333333,1.98133333333333,2.15566666666667
"1805","Level II",72.1905359362564,"Journal of Financial Markets","1386-4181",1,3,2.272,1.257,1.448
"1806","Level III",57.2769041956322,"Health Care Management Science","1386-9620",1,1,2.24633333333333,0.656333333333333,1.83833333333333
"1807","Level IV",20,"Statistical Inference for Stochastic Processes","1387-0874",1,NA,NA,NA,NA
"1808","Level IV",20,"Asia-Pacific Financial Markets","1387-2834",1,2,NA,NA,NA
"1809","Level II",60,"Information Systems Frontiers","1387-3326",NA,3,3.24366666666667,0.482333333333333,3.13366666666667
"1810","Level IV",20,"Journal of Bioeconomics","1387-6996",1,1,NA,NA,NA
"1811","Level IV",24.1449623173984,"Ethics and Information Technology","1388-1957",NA,1,1.98833333333333,0.455333333333333,1.82933333333333
"1812","Level IV",20,"International Journal of Maritime Economics","1388-1973",1,NA,NA,NA,NA
"1813","Level II",71.9461822893479,"Journal of Happiness Studies","1389-4978",1,1,3.13566666666667,0.902,2.27733333333333
"1814","Level IV",20,"International Journal of Health Care Finance and Economics","1389-6563",1,2,NA,NA,NA
"1815","Level IV",20,"South Asia Economic Journal","1391-5614",1,1,NA,NA,NA
"1816","Level IV",20,"Sri Lanka Economic Journal","1391-5894",1,NA,NA,NA,NA
"1817","Level IV",20,"Ekonomika (Vilnius University)","1392-1258",1,NA,NA,NA,NA
"1818","Level IV",20,"International Journal of Economics, Management and Accounting","1394-7680",1,NA,NA,NA,NA
"1819","Level IV",20,"IIUM Journal of Economics and Management","1394-7680",1,NA,NA,NA,NA
"1820","Level IV",20,"Swedish Economic Policy Review","1400-1829",1,NA,NA,NA,NA
"1821","Level IV",20,"América Latina en la Historia Económica","1405-2253",1,NA,NA,NA,NA
"1822","Level IV",20,"Anáhuac Journal","1405-8448",1,NA,NA,NA,NA
"1823","Level IV",25.7227287671619,"Baltic Journal of Economics","1406-099X",1,1,0.989333333333333,0.151333333333333,0.967333333333333
"1824","Level IV",20,"Akademija MM","1408-1652",1,NA,NA,NA,NA
"1825","Level IV",20,"Gadjah Mada International Journal of Business","1411-1128",1,NA,NA,NA,NA
"1826","Level IV",20,"Economia Aplicada/Brazilian Journal of Applied Economics","1413-8050",1,NA,NA,NA,NA
"1827","Level IV",20,"Revista de Economia Contemporânea","1415-9848",1,NA,NA,NA,NA
"1828","Level IV",20,"Studies in Agricultural Economics","1418-2106",1,1,NA,NA,NA
"1829","No Level",NA,"Psychologie du Travail et des Organisations","1420-2530",NA,1,NA,NA,NA
"1830","Level IV",20,"Swiss Journal of Psychology","1421-0185",NA,1,0.792,0.261333333333333,0.573
"1831","Level IV",20,"Schweizerische Nationalbank Quartalsheft","1423-3789",1,NA,NA,NA,NA
"1832","Level III",48.3727217070849,"Swiss Political Science Review","1424-7755",1,NA,1.429,0.636666666666667,1.51866666666667
"1833","Level III",43.959231010008,"Mathematical Methods of Operations Research","1432-2994",1,1,1.04666666666667,0.661333333333333,0.955333333333333
"1834","Level IV",20,"Environmental Economics and Policy Studies","1432-847X",1,1,NA,NA,NA
"1835","Level III",40,"Review of Economic Design","1434-4742",1,2,0.504666666666667,0.492666666666667,0.359
"1836","Level IV",33.141929084078,"Central European Journal of Operations Research","1435-246X",1,1,1.18633333333333,0.260333333333333,1.33
"1837","Level IV",20,"SEER. South-East Europe Review for Labour and Social Affairs","1435-2869",1,NA,NA,NA,NA
"1838","Level IV",20,"Spanish Economic Review","1435-5469",1,NA,NA,NA,NA
"1839","Level IV",20,"Cognition Technology and Work","1435-5558",NA,1,1.55666666666667,0.305,1.218
"1840","Level III",50.815957764926,"Journal of Geographical Systems","1435-5930",1,NA,1.812,0.578,1.25633333333333
"1841","Level IV",32.4982185417358,"Economics of Governance","1435-6104",1,1,0.944,0.309333333333333,0.705
"1842","Level IV",20,"Schmollers Jahrbuch: Journal of Contextual Economics","1439-121X",1,NA,NA,NA,NA
"1843","Level IV",20,"Schmollers Jahrbuch: Zeitschrift für Wirtschafts- und Sozialwissenschaften/Journal of Applied Social Science Studies","1439-121X",1,NA,NA,NA,NA
"1844","Level IV",20,"Schmalenbach Business Review","1439-2917",1,2,NA,NA,NA
"1845","Level IV",20,"HEPAC: Health Economics in Prevention and Care","1439-3972",1,NA,NA,NA,NA
"1846","Level IV",20,"Zeitschrift für Wirtschafts- und Unternehmensethik","1439-880X",1,NA,NA,NA,NA
"1847","Level IV",20,"Zeitschrift für Wirtschafts- und Unternehmensethik/Journal for Business, Economics and Ethics","1439-880X",1,NA,NA,NA,NA
"1848","Level III",40,"Sport Management Review","1441-3523",NA,2,3.414,0.513,2.997
"1849","No Level",NA,"Australasian Marketing Journal","1441-3582",NA,1,NA,NA,NA
"1850","Level IV",20,"International Journal of Development Issues","1446-8956",1,2,NA,NA,NA
"1851","No Level",NA,"Review of Network Economics","1446-9022",NA,2,NA,NA,NA
"1852","No Level",NA,"Journal of Hospitality and Tourism Management","1447-6770",NA,1,NA,NA,NA
"1853","No Level",NA,"Innovation: Organization & Management","1447-9338",NA,2,NA,NA,NA
"1854","No Level",NA,"International Journal of Knowledge, Culture and Change Management","1447-9524",NA,1,NA,NA,NA
"1855","Level IV",20,"eJournal of Tax Research","1448-2398",1,NA,NA,NA,NA
"1856","No Level",NA,"Australasian Journal of Information Systems","1449-8618",NA,1,NA,NA,NA
"1857","Level IV",20,"EuroMed Journal of Business","1450-2194",1,1,NA,NA,NA
"1858","Level IV",20,"International Research Journal of Finance and Economics","1450-2887",1,NA,NA,NA,NA
"1859","Level IV",20,"Middle Eastern Finance and Economics","1450-2889",1,NA,NA,NA,NA
"1860","Level IV",20,"Journal of Money, Investment and Banking","1450-288X",1,NA,NA,NA,NA
"1861","Level IV",20,"Ekonomski Horizonti/Economic Horizons","1450-863X",1,NA,NA,NA,NA
"1862","Level V",19.601170427426,"Panoeconomicus","1452-595X",1,NA,0.658,0.104666666666667,0.513333333333333
"1863","Level IV",20,"Economia: Seria Management","1454-0320",1,NA,NA,NA,NA
"1864","Level IV",20,"Romanian Economic Journal","1454-4296",1,NA,NA,NA,NA
"1865","Level IV",20,"Annales Universitatis Apulensis Series Oeconomica","1454-9409",1,NA,NA,NA,NA
"1866","No Level",NA,"European Journal of Innovation Management","1460-1060",NA,1,NA,NA,1.93033333333333
"1867","Level IV",31.7228142201816,"Journal of Computational Finance","1460-1559",1,1,0.762,0.357666666666667,0.731666666666667
"1868","Level IV",20,"International Journal of Financial Services Management","1460-6712",1,NA,NA,NA,NA
"1869","Level II",73.5918094998041,"International Journal of Management Reviews","1460-8545",NA,3,9.618,2.273,7.57333333333333
"1870","No Level",NA,"International Journal of Information Technology and Management","1461-4111",NA,1,NA,NA,NA
"1871","Level III",40,"Tourism Geographies","1461-6688",NA,2,3.326,0.505333333333333,2.658
"1872","Level IV",20,"European Journal of Housing Policy","1461-6718",1,NA,NA,NA,NA
"1873","Level IV",20,"International Journal of Agricultural Resources, Governance and Ecology","1462-4605",1,NA,NA,NA,NA
"1874","No Level",NA,"International Journal of Management and Decision Making","1462-4621",NA,1,NA,NA,NA
"1875","No Level",NA,"Journal of Small Business and Enterprise Development","1462-6004",NA,2,NA,NA,NA
"1876","Level II",60,"Environmental Science and Policy","1462-9011",NA,3,4.89033333333333,1.158,4.46966666666667
"1877","Level IV",26.7348435411882,"Post-Communist Economies","1463-1377",1,1,0.935666666666667,0.178666666666667,0.8
"1878","No Level",NA,"Benchmarking: An International Journal","1463-5771",NA,1,NA,NA,NA
"1879","No Level",NA,"Journal of Property Investment and Finance","1463-578X",NA,1,NA,NA,NA
"1880","Level IV",20,"Foresight","1463-6689",1,1,NA,NA,NA
"1881","Level IV",20,"Info","1463-6697",1,1,NA,NA,NA
"1882","Level III",40,"Manchester School","1463-6786",1,2,0.697333333333333,0.307333333333333,0.559666666666667
"1883","No Level",NA,"Business Process Management Journal","1463-7154",NA,2,NA,NA,1.76966666666667
"1884","No Level",NA,"European Work and Organizational Psychology in practice","1464-0643",NA,1,NA,NA,NA
"1885","Level IV",20,"International Journal of Sports Marketing and Sponsorship","1464-6668",NA,1,1.12366666666667,0.138,0.848333333333333
"1886","Level IV",20,"Journal of Human Development","1464-9888",1,NA,NA,NA,NA
"1887","Level III",40,"Journal of Risk","1465-1211",1,2,0.608,0.237,0.542333333333333
"1888","Level III",43.5350961099073,"German Economic Review","1465-6485",1,2,1.17433333333333,0.573333333333333,0.719333333333333
"1889","Level IV",20,"Perspektiven der Wirtschaftspolitik","1465-6493",1,NA,NA,NA,NA
"1890","Level III",52.0882330821915,"American Law and Economics Review","1465-7252",1,2,1.17533333333333,0.956333333333333,0.984
"1891","No Level",NA,"International Journal of Entrepreneurship and Innovation","1465-7503",NA,2,NA,NA,NA
"1892","Level III",40,"International Journal of Accounting Information Systems","1467-0895",NA,2,2.011,0.242,1.535
"1893","Level II",60,"Enterprise and Society","1467-2227",1,3,0.729666666666667,0.343333333333333,0.538666666666667
"1894","No Level",NA,"Journal of International Financial Management and Accounting","1467-646X",NA,2,NA,NA,NA
"1895","Level IV",20,"Global Social Policy","1468-0181",1,NA,NA,NA,NA
"1896","No Level",NA,"International Journal of Training and Development","1468-2419",NA,2,NA,NA,NA
"1897","Level I-B",120,"Journal of Economic Geography","1468-2702",1,5,5.02266666666667,1.84133333333333,3.367
"1898","No Level",NA,"International Journal of Technology Policy and Management","1468-4322",NA,1,NA,NA,NA
"1899","Level IV",23.8952424828151,"Online Information Review","1468-4527",NA,1,2.29466666666667,0.383,1.80266666666667
"1900","Level III",40,"Tourist Studies","1468-7976",NA,2,1.833,0.406333333333333,1.39266666666667
"1901","No Level",NA,"Journal of Intellectual Capital","1469-1930",NA,2,NA,NA,4.061
"1902","Level II",83.1816662872904,"Climate Policy","1469-3062",1,NA,3.81933333333333,1.121,4.21333333333333
"1903","No Level",NA,"Business and Politics","1469-3569",NA,2,NA,NA,NA
"1904","No Level",NA,"Journal of Change Management","1469-7017",NA,1,NA,NA,NA
"1905","Level II",60,"Quantitative Finance","1469-7688",1,3,1.39866666666667,0.557666666666667,1.33933333333333
"1906","Level IV",31.4473016672208,"Active Learning in Higher Education","1469-7874",NA,1,3.37333333333333,0.571,2.46033333333333
"1907","Level II",60,"Global Networks - A Journal of Transnational Affairs","1470-2266",NA,3,2.751,0.916666666666667,2.178
"1908","Level III",40,"Innovations in Education and Teaching International","1470-3297",NA,2,1.35,0.238333333333333,1.09
"1909","No Level",NA,"Journal of Corporate Citizenship","1470-5001",NA,1,NA,NA,NA
"1910","Level II",60,"Marketing Theory","1470-5931",NA,3,3.898,0.78,2.95266666666667
"1911","Level IV",38.686852220519,"Politics, Philosophy and Economics","1470-594X",1,NA,0.973333333333333,0.493666666666667,0.706666666666667
"1912","No Level",NA,"International Journal of Cross Cultural Management","1470-5958",NA,1,NA,NA,NA
"1913","Level III",40,"International Journal of Consumer Studies","1470-6423",NA,2,2.30266666666667,0.373333333333333,1.533
"1914","Level III",40,"International Journal of Market Research","1470-7853",NA,2,1.366,0.240666666666667,0.909666666666667
"1915","Level IV",20,"Journal of Asset Management","1470-8272",1,2,NA,NA,NA
"1916","Level III",40,"Journal of Agrarian Change","1471-0358",NA,2,2.69733333333333,1.082,2.165
"1917","No Level",NA,"Global Networks","1471-0374",NA,2,NA,NA,NA
"1918","Level III",40,"Health Information and Libraries Journal","1471-1834",NA,2,1.268,0.286333333333333,1.24166666666667
"1919","Level III",40,"IMA Journal of Management Mathematics","1471-678X",NA,2,1.315,0.444333333333333,1.31033333333333
"1920","Level II",60,"Information and Organization","1471-7727",NA,3,3.37166666666667,0.958666666666667,2.47533333333333
"1921","Level II",60,"Public Management Review","1471-9037",NA,3,4.107,0.946,3.51166666666667
"1922","No Level",NA,"Corporate Governance: The International Journal of Business in Society","1472-0701",NA,2,NA,NA,NA
