Level,Points,Journal,ISSN,Econ,ABS,I,A,T,B.Points,,,
Level IV,20.000,Problems of Economic Transition,1061-1991,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Problems of Economics,0032-9436,1,0,NA,NA,NA,NA,,,
Level IV,20.000,PSL Quarterly Review,2037-3635,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Budgeting and Finance,0275-1100,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Finance,0033-3476,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Finance and Management,1523-9721,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Finance Quarterly,1091-1421,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Finance Review,1091-1421,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Management,1896-0200,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Organization Review,1566-7170,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Public Policy,0033-3646,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Policy Research,1744-5396,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Policy Review,1880-1951,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Policy Review,2435-5615,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Public Sector Economics,2459-8860,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Punjab University Economist,0377-3191,1,0,NA,NA,NA,NA,,,
Level IV,20.000,QA: Rivista dell' Associazione Rossi-Doria,1971-4017,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Qualitative Research in Financial Markets,1755-4179,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Quantile,2309-3013,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Energy Economics Review,1735-1626,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Iranian Economic Research,1726-0728,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Journal of Applied Theories of Economics,2423-6578,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Journal of Austrian Economics,1098-3708,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Journal of Business and Economics,0747-5535,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Journal of Economic Growth and Development Research,2228-5954,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Journal of Finance,2010-1392,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Journal of Finance and Accounting,0747-5535,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Journal of International Agriculture,0049-8599,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Journal of the Economic Research,1735-6768,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Review of Agricultural Economics,0156-7446,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Review of Economics and Business,0033-5797,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Review of Economics and Finance,1062-9769,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Review of the Rural Economy,0156-7446,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Quarterly Selection of Articles,1778-2333,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Rassegna Economica,0390-010X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Recherches Economiques de Louvain,0770-4518,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Recherches Economiques de Louvain/Louvain Economic Review,0770-4518,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Recma: Revue Internationale de l'Economie Sociale,0035-2020,1,0,NA,NA,NA,NA,,,
Level IV,20.000,REGION,2409-5370,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Région et Développement,1267-5059,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Regional and Sectoral Economic Studies,1578-4460,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Regional Science Inquiry,1791-5961,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Regional Science Perspectives,0097-1197,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Regulation,0147-0590,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Research in Economics,1090-9443,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Research in International Business and Finance,0275-5319,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Research in Law and Economics,0193-5895,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Research Journal of Business and Management,2148-6689,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Reserve Bank of India Occasional Papers,0972-7493,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Resources and Energy,0165-0572,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Agricultural Economics,1058-7195,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Review of Applied Economics,0973-1687,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Applied Socio-Economic Research,2247-6172,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Asset Pricing Studies,2045-9920,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Austrian Economics,0889-3047,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Review of Behavioral Economics,2326-6198,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Review of Behavioral Finance,1940-5979,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Review of Black Political Economy,0034-6446,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Business and Economic Literature,2034-7677,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Business and Economic Research,0362-7985,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Business and Economics,0772-7674,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Business Research,1546-2609,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Corporate Finance Studies,2046-9128,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Development Finance,1879-9337,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economic Analysis,1973-3909,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economic and Business Studies,1843-763X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economic Conditions in Italy,0034-6799,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economic Perspectives,1213-2446,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economic Research on Copyright Issues,1698-1359,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economic Sciences,1109-2629,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economics and Development Studies,2519-9692,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economics and Economic Methodology,2536-1953,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economics and Finance,1923-7529,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economics and Institutions,2038-1379,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Economics/Jahrbuch für Wirtschaftswissenschaften,2366-035X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Finance and Banking,2067-2713,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Financial Economics,1058-3300,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Review of Futures Markets,0898-011X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Integrative Business and Economics Research,2414-6722,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Islamic Economics,0962-2055,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Law and Economics,2194-6507,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Marketing and Agricultural Economics,0034-6616,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Marketing Science,2194-5985,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Middle East Economics and Finance,1475-3685,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Pacific Basin Financial Markets and Policies,0219-0915,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Political Economy,0953-8259,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Review of Public Data Use,0092-2846,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Quantitative Finance and Accounting,0924-865X,1,3,NA,NA,NA,NA,,,
Level IV,20.000,Review of Regional Research,0173-7600,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Regional Studies,0048-749X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Social Economy,0034-6764,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Review of Social Sciences,1995-6584,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Review of Urban and Regional Development Studies,0917-0553,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revija za Pravo i Ekonomiju/Review for Law and Economics,1512-6706,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Brasileira de Economia,0034-7140,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Brasileira de Economia de Empresas/Brazilian Journal of Business Economics,1676-8000,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Brasileira de Estudos Regionais e Urbanos,1981-3953,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Brasileira de Finanças,1679-0731,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Ciencias Económicas,0252-9521,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Ciencias Estratégicas,1794-8347,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista CIFE: Lecturas de Economia Social,0124-3551,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Administraçao d'Emprêsas,2446-9955,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Análisis Económico,0716-5927,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Econometria,0101-7012,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economía,0797-5546,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economía (Universidad Autónoma de Yucatán),0188-266X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economia Contemporânea,1415-9848,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economía del Caribe,2011-2106,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economia del Rosario,0123-5362,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economia e Sociologia Rural,0103-2003,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economía Financiera,1697-9761,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economía Institucional,0124-5996,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economía Laboral,1698-451X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economia Política,0101-3157,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economía Política de Buenos Aires,1850-6933,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Economia Política/Brazilian Journal of Political Economy,0101-3157,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Empresa Familiar,2174-2529,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Estudios Cooperativos,1135-6618,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Estudios Regionales,0213-7585,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista de Métodos Cuantitativos para la Economía y la Empressa/Journal of Quantitative Methods for Economics and Business Administration,1886-516X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista EAN,0120-8160,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Española de Economía,0210-1025,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Europea de Direcció y Economía de la Empresa,1019-6838,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Facultad de Ciencias Económicas: Investigación y Reflexión,0121-6805,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Finanzas y Política Económica,2248-6046,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Internacional Administración and Finanzas,1933-608X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Mexicana de Economia y Finanzas/Mexican Journal of Economics and Finance,1665-5346,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Nicolaita de Estudios Económicos,1870-5464,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Portuguesa de Estudos Regionais,1645-586X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revista Universitaria Europea,1139-5796,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue d'Economie du Développement,1245-4060,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue d'Economie Financière,0987-3368,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue d'Economie Industrielle,0154-3229,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue d'Economie Politique,0373-2630,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue d'Economie Regionale et Urbaine,0180-7307,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue d'Etudes en Agriculture et Environnement/Review of Agricultural and Environmental Studies,1966-9607,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue d'Histoire de la Pensée Économique/Journal of the History of Economic Thought,2496-4646,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue de L'OFCE,1265-9576,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue de la Régulation,1957-7796,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue de Philosophie Economique,1376-0971,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue de Philosophie Economique/Review of Economic Philosophy,1376-0971,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue de Science Financière,0035-1741,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue Economique,0035-2764,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue Finance Contrôle Stratégie,1287-1141,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue Française d'Economie,0769-0479,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue Française de Gestion,0338-4551,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue Française de Socio-économie,1966-6608,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue Internationale des Études du Développement,2554-3415,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue interventions economiques/Papers in Political Economy,1710-7377,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue Roumaine des Sciences Sociales; Série Sciences Economiques,0035-404X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Revue Tiers Monde,1293-8882,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ricerche Economiche,0035-5054,1,0,NA,NA,NA,NA,,,
Level IV,20.000,RISEC: International Review of Economics and Business,0035-6751,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Risk and Decision Analysis,1569-7371,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Risk Decision and Policy,1357-5309,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Risk Governance and Control: Financial Markets and Institutions,2077-429X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Risks,2227-9091,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Risparmio,0035-5615,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Rivista Bancaria-Minerva Bancaria,1594-7556,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Rivista di Economia Agraria,0035-6190,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Rivista di Politica Economica,0035-6468,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Rivista di Statistica Applicata,0035-6549,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Rivista di Storia Economica, N.S.",0393-3415,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Rivista Economica del Mezzogiorno,1120-9534,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Rivista Internazionale di Scienze Economiche e Commerciali,0035-6751,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Rivista Internazionale di Scienze Sociali,0035-676X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Rivista Italiana degli Economisti,1593-8662,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Romanian Economic and Business Review,1842-2497,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Romanian Economic Journal,1454-4296,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Romanian Journal of Fiscal Policy,2069-0983,1,0,NA,NA,NA,NA,,,
Level IV,20.000,RSF: The Russell Sage Foundation Journal of the Social Sciences,2377-8253,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Russian and East European Finance and Trade,1061-2009,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Russian Economic Trends,0967-0793,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Savings and Development,0393-4551,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Scandinavian Economic History Review,0358-5522,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Schmalenbach Business Review,1439-2917,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Schmalenbach Journal of Business Research,2213-8773,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Schmalenbachs Zeitschrift fur betriebswirtschaftliche Forschung,0341-2687,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Schmollers Jahrbuch für Wirtschafts– und Sozialwissenschaften,0036-6234,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Schmollers Jahrbuch: Journal of Contextual Economics,1439-121X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Schmollers Jahrbuch: Zeitschrift für Wirtschafts- und Sozialwissenschaften/Journal of Applied Social Science Studies,1439-121X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,School of Public Policy Publication,2560-8312,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Schweizerische Nationalbank Quartalsheft,1423-3789,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Schweizerische Zeitschrift für Volkswirtschaft und Statistik/Swiss Journal of Economics and Statistics,0303-9692,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Scientific Annals of Economics and Business,2501-1960,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Scientific Annals of the ""Alexandru Ioan Cuza"" University of Iasi",0379-7864,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Scienze Regionali/Italian Journal of Regional Science,1720-3929,1,0,NA,NA,NA,NA,,,
Level IV,20.000,SEER. South-East Europe Review for Labour and Social Affairs,1435-2869,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Semestre Económico,0120-6346,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Seoul Journal of Economics,1225-0279,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Sinapsis,2145-969X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Sloan Management Review,0019-848X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Social and Economic Studies,0037-7651,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Social Sciences,0134-5486,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Social Security Bulletin,0037-7910,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Sociedad y Economía,1657-6357,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Socio-Économie du Travail/Social Economy of Labor,2554-9073,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Socioeconomica,2217-7558,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Sociologia del Lavoro,0392-5048,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Sosyoekonomi,1305-5577,1,0,NA,NA,NA,NA,,,
Level IV,20.000,South-Eastern Europe Journal of Economics,1109-8597,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"South African Journal of Economic and Management Sciences, N.S.",1015-8812,1,0,NA,NA,NA,NA,,,
Level IV,20.000,South Asia Economic Journal,1391-5614,1,1,NA,NA,NA,NA,,,
Level IV,20.000,South Asian Journal of Macroeconomics and Public Finance,2277-9787,1,0,NA,NA,NA,NA,,,
Level IV,20.000,South East European Journal of Economics and Business,1840-118X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Southern Journal of Agricultural Economics,0081-3052,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Southern Journal of Entrepreneurship,1935-8695,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Southern Quarterly,0038-4496,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Southwestern Economic Review,1941-7683,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Soviet and Eastern European Foreign Trade,0038-5263,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Soviet Economy,0882-6994,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Soviet Studies,0038-5859,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Sozialer Fortschritt/German Review of Social Policy,0038-609X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Spanish Economic Review,1435-5469,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Spanish Review of Financial Economics,2173-1268,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Spoudai,1105-8919,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Sri Lanka Economic Journal,1391-5894,1,0,NA,NA,NA,NA,,,
Level IV,20.000,SS International Journal of Business and Management Research,2231-4970,1,0,NA,NA,NA,NA,,,
Level IV,20.000,State Bank of Pakistan Research Bulletin,1994-201X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Statistica,0039-0380,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Statistical Inference for Stochastic Processes,1387-0874,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Statistical Journal,0167-8000,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Statistical Journal of the IAOS,1874-7655,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Statistical Review,1790-4021,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Statistical Review,1791-1745,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Statistika: Statistics and Economy Journal,0322-788X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Stato e Mercato,0392-9701,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Statsokonomisk Tidsskrift,0039-0720,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Stochastics and Quality Control,2367-2404,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Storia del Pensiero Economico,1593-8565,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Storia del Pensiero Economico: Nuova Serie,1828-1990,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Strategic Behavior and the Environment,1944-012X,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Studi e Note di Economia,1720-4100,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Studi Economici,0039-2928,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Studia Universitatis Babes-Bolyai Oeconomica,1220-0506,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Studies in Agricultural Economics,1418-2106,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Studies in Business and Economics,1842-4120,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Studies in Economics and Finance,1086-7376,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Studies in Microeconomics,2321-0222,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Studies in Regional Science,0287-6256,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Suid-Afrikaanse Tydskrif vir Ekonomiese en Bestuurswetenskappe/South African Journal of Economic and Management Sciences,1015-8812,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Suid-Afrikaanse Tydskrif vir Ekonomiese en Bestuurswetenskappe/South African Journal of Economic and Management Sciences, N.S.",1015-8812,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Supreme Court Economic Review,0736-9921,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Survey of Current Business,0039-6222,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Swedish Economic Policy Review,1400-1829,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Swiss Journal of Economics and Statistics,2235-6282,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Tahghighat-e-Eghtesadi,0039-8969,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Tahqiqat–e eqtesadi (Quarterly Journal of Economic Research),1010-657X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Taipei Economic Inquiry,1018-1245,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Taiwan Economic Forecast and Policy,1729-8849,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Taiwan Economic Review,1018-3833,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Taiwanese Agricultural Economic Review,1027-7757,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Tarim Ekonomisi Dergisi/Turkish Journal of Agricultural Economics,1303-0183,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Teaching Business and Economics,1367-3289,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Theoretical and Applied Economics,1841-8678,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Theoretical and Practical Research in Economic Fields,2068-7710,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Theoretical Economics,1933-6837,1,3,NA,NA,NA,NA,,,
Level IV,20.000,Theoretical Economics Letters,2162-2078,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Tijdschrift voor Economie,0772-7674,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Tijdschrift voor Economie en Management,0772-7674,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Timisoara Journal of Economics and Business,2286-0991,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Topics in Economic Analysis and Policy,1538-0653,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Topics in Macroeconomics,1534-5998,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Topics in Middle Eastern and North African Economies,2334-282X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Topics in Theoretical Economics,1534-598X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Tourism and Hospitality Management,1330-7533,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Transition Studies Review,1614-4007,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Transnational Corporations,1014-9562,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Transnational Corporations Review,1918-6444,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Transportation Journal,2157-328X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Travail et Emploi,0224-4365,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ukrainian Economic Review,1080-725X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Uluslararasi Iktisadi ve Idari Incelemeler Dergisi/International Journal of Economic and Administrative Studies,1307-9832,1,0,NA,NA,NA,NA,,,
Level IV,20.000,UNCTAD Review,1014-370X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Universal Journal of Accounting and Finance,2331-9712,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Universal Journal of Industrial and Business Management,2332-3310,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Universal Journal of Management,2331-950X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,University of Missouri Business and Government Review,XXXX-XXXX,1,0,NA,NA,NA,NA,,,
Level IV,20.000,University of Washington Business Review,0042-0298,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Uprava/Administration,1581-7555,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Urban Public Economics Review/Revista de Economía Pública Urbana,1697-6223,1,0,NA,NA,NA,NA,,,
Level IV,20.000,UTMS Journal of Economics,1857-6974,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Venture Capital,1369-1066,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Verslo ir Teises Aktualijos/Current Issues of Business and Law,1822-9530,1,0,NA,NA,NA,NA,,,
