"Title","ISSN","AEA","SCIMAGO","JCI"
"Journal of Business Inquiry","2155-4056","X",NA,NA
"Journal of Business Valuation and Economic Loss Analysis","2194-5861","X",NA,NA
"Journal of Business, Economics and Finance","2146-7943","X",NA,NA
"Journal of Capital Markets Studies","2514-4774","X",NA,NA
"Journal of Central Banking Theory and Practice","1800-9581","X","X",NA
"Journal of CENTRUM Cathedra","1851-6599","X",NA,NA
"Journal of Chinese Economic and Business Studies","1476-5284","X",NA,NA
"Journal of Chinese Economic and Foreign Trade Studies","1754-4408","X",NA,NA
"Journal of Chinese Economic Studies","1348-2521","X",NA,NA
"Journal of Commodity Markets","2405-8513","X","X","X"
"Journal of Common Market Studies","0021-9886","X","X","X"
"Journal of Comparative Economics","0147-5967","X","X","X"
"Journal of Competition Law and Economics","1744-6414","X","X","X"
"Journal of Computational Finance","1460-1559","X",NA,NA
"Journal of Conflict Resolution","0022-0027","X",NA,NA
"Journal of Consumer Affairs","0022-0078","X",NA,"X"
"Journal of Consumer Policy","0168-7034","X","X",NA
"Journal of Consumer Research","0093-5301","X","X",NA
"Journal of Contemporary Accounting and Economics","1815-5669","X",NA,"X"
"Journal of Corporate Finance","0929-1199","X","X",NA
"Journal of Credit Risk","1744-6619","X","X",NA
"Journal of Cultural Economics","0885-2545","X",NA,"X"
"Journal of Data Analysis","1819-2343","X",NA,NA
"Journal of Demographic Economics","2054-0892","X","X","X"
"Journal of Derivatives","1074-1240","X","X",NA
"Journal of Derivatives and Hedge Funds","1753-9641","X",NA,NA
"Journal of Developing Areas","0022-037X","X",NA,NA
"Journal of Development and Economic Policies","1561-0411","X",NA,NA
"Journal of Development Economics","0304-3878","X","X","X"
"Journal of Development Effectiveness","1943-9342","X",NA,NA
"Journal of Development Studies","0022-0388","X",NA,"X"
"Journal of Developmental Entrepreneurship","1084-9467","X","X",NA
"Journal of East and West Studies","1229-4098","X",NA,NA
"Journal of East Asian Economic Integration","2234-8867","X",NA,NA
"Journal of Econometric Methods","2194-6345","X",NA,NA
"Journal of Econometrics","0304-4076","X","X","X"
"Journal of Economic and Financial Studies","2379-9463","X",NA,NA
"Journal of Economic and Social Measurement","0747-9662","X",NA,NA
"Journal of Economic and Social Policy","1325-2224","X",NA,NA
"Journal of Economic and Social Research","1302-1060","X",NA,NA
"Journal of Economic and Social Studies","1986-8499","X",NA,NA
"Journal of Economic and Social Thought","2149-0422","X",NA,NA
"Journal of Economic Asymmetries","1703-4949","X",NA,NA
"Journal of Economic Behavior and Organization","0167-2681","X","X","X"
"Journal of Economic Cooperation among Islamic Countries","0252-953X","X",NA,NA
"Journal of Economic Cooperation and Development","1308-7800","X","X",NA
"Journal of Economic Development","0254-8372","X","X",NA
"Journal of Economic Dynamics and Control","0165-1889","X","X","X"
"Journal of Economic Education","0022-0485","X","X","X"
"Journal of Economic Geography","1468-2702","X","X","X"
"Journal of Economic Growth","1381-4338","X","X","X"
"Journal of Economic History","0022-0507","X","X","X"
"Journal of Economic Inequality","1569-1721","X",NA,"X"
"Journal of Economic Insight","2572-7362","X",NA,NA
"Journal of Economic Integration","1225-651X","X",NA,NA
"Journal of Economic Interaction and Coordination","1860-711X","X","X","X"
"Journal of Economic Issues","0021-3624","X","X","X"
"Journal of Economic Literature","0022-0515","X","X","X"
"Journal of Economic Methodology","1350-178X","X",NA,"X"
"Journal of Economic Perspectives","0895-3309","X","X","X"
"Journal of Economic Policy Reform","1748-7870","X",NA,"X"
"Journal of Economic Psychology","0167-4870","X","X","X"
"Journal of Economic Research","1226-4261","X",NA,NA
"Journal of Economic Sciences: Theory and Practice","2220-8739","X",NA,NA
"Journal of Economic Structures","2193-2409","X","X",NA
"Journal of Economic Studies","0144-3585","X",NA,NA
"Journal of Economic Surveys","0950-0804","X","X","X"
"Journal of Economic Theory","0022-0531","X","X","X"
"Journal of Economic Theory and Econometrics","1229-2893","X","X",NA
"Journal of Economics (MVEA)","0361-6576","X",NA,NA
"Journal of Economics (Zeitschrift für Nationalökonomie)","0931-8658","X","X","X"
"Journal of Economics and Finance","1055-0925","X","X",NA
"Journal of Economics and Management","1819-0197","X",NA,NA
"Journal of Economics and Management Strategy","1058-6407","X","X","X"
"Journal of Economics Bibliography","2149-2387","X",NA,NA
"Journal of Economics Library","2149-2379","X",NA,NA
"Journal of Economics, Finance and Accounting","2148-6697","X",NA,NA
"Journal of Economics, Finance and Administrative Science","2077-1886","X",NA,NA
"Journal of Education Finance","0098-9495","X",NA,NA
"Journal of Emerging Market Finance","0972-6527","X","X",NA
"Journal of Emerging Markets","1083-9798","X",NA,NA
"Journal of Empirical Finance","0927-5398","X","X","X"
"Journal of Energy and Development","0361-4476","X","X",NA
"Journal of Energy Finance and Development","1085-7443","X",NA,NA
"Journal of Energy Literature","1359-3714","X",NA,NA
"Journal of Energy Markets","1756-3607","X","X",NA
"Journal of Enterprising Culture","0218-4958","X",NA,NA
"Journal of Entrepreneurial and Small Business Finance","1057-2287","X",NA,NA
"Journal of Entrepreneurial Finance and Business Ventures","1551-9570","X",NA,NA
"Journal of Entrepreneurship","0971-3557","X","X",NA
"Journal of Entrepreneurship, Business and Economics","2345-4695","X",NA,NA
"Journal of Environment and Development","1070-4965","X",NA,NA
"Journal of Environmental Economics and Management","0095-0696","X","X","X"
"Journal of Environmental Planning and Management","0964-0568","X",NA,NA
"Journal of European Economic History","0391-5115","X",NA,NA
"Journal of European Economy","1684-906X","X",NA,NA
"Journal of European Real Estate Research","1753-9269","X","X",NA
"Journal of Evolutionary Economics","0936-9937","X","X","X"
"Journal of Family and Economic Issues","1058-0476","X","X","X"
"Journal of Finance","0022-1082","X","X","X"
"Journal of Finance and Economics (Science and Education Centre of North America)","2291-4951","X",NA,NA
"Journal of Finance and Economics (Science and Education Publishing)","2328-7284","X",NA,NA
"Journal of Financial and Quantitative Analysis","0022-1090","X","X","X"
"Journal of Financial Econometrics","1479-8409","X","X","X"
"Journal of Financial Economic Policy","1757-6385","X","X",NA
"Journal of Financial Economics","0304-405X","X","X","X"
"Journal of Financial Intermediation","1042-9573","X","X",NA
"Journal of Financial Management and Analysis","0970-4205","X",NA,NA
"Journal of Financial Management Markets and Institutions","2282-717X","X",NA,NA
"Journal of Financial Market Infrastructures","2049-5404","X",NA,NA
"Journal of Financial Markets","1386-4181","X","X",NA
"Journal of Financial Perspectives","2049-8640","X",NA,NA
"Journal of Financial Research","0270-2592","X",NA,NA
"Journal of Financial Services Research","0920-8550","X","X",NA
"Journal of Financial Stability","1572-3089","X",NA,"X"
"Journal of Financial Studies","1022-2898","X",NA,NA
"Journal of Financial Transformation","1755-361X","X",NA,NA
"Journal of Forecasting","0277-6693","X",NA,"X"
"Journal of Forensic Economics","0898-5510","X",NA,NA
"Journal of Forest Economics","1104-6899","X",NA,"X"
"Journal of Futures Markets","0270-7314","X","X",NA
"Journal of Geographical Systems","1435-5930","X",NA,NA
"Journal of Global Analysis","2041-1944","X",NA,NA
"Journal of Global Economic Analysis","2377-2999","X",NA,NA
"Journal of Globalization and Development","1948-1837","X",NA,NA
"Journal of Governance and Regulation","2220-9352","X",NA,NA
"Journal of Happiness Studies","1389-4978","X",NA,NA
"Journal of Health Economics","0167-6296","X",NA,"X"
"Journal of Health Politics, Policy and Law","0361-6878","X",NA,NA
"Journal of Higher Education Policy and Management","1360-080X","X",NA,NA
"Journal of Housing Economics","1051-1377","X","X","X"
"Journal of Housing Research","1052-7001","X",NA,NA
"Journal of Human Capital","1932-8575","X",NA,"X"
"Journal of Human Development","1464-9888","X",NA,NA
"Journal of Human Development and Capabilities","1945-2829","X",NA,NA
"Journal of Human Resources","0022-166X","X","X","X"
"Journal of Income and Wealth","0974-0309","X",NA,NA
"Journal of Income Distribution","0926-6437","X",NA,NA
"Journal of Indonesian Economy and Business","2085-8272","X",NA,NA
"Journal of Industrial Economics","0022-1821","X","X","X"
"Journal of Industrial Organization Education","1935-5041","X",NA,NA
"Journal of Industry Studies","1320-6095","X",NA,NA
"Journal of Industry, Competition and Trade","1566-1679","X",NA,NA
"Journal of Innovation and Knowledge","2444-569X","X","X",NA
"Journal of Institutional and Theoretical Economics","0932-4569","X","X","X"
"Journal of Institutional Economics","1744-1374","X",NA,"X"
"Journal of Insurance and Financial Management","2371-2112","X",NA,NA
"Journal of Interamerican Studies and World Affairs","0022-1937","X",NA,NA
"Journal of Interdisciplinary Economics","0260-1079","X","X",NA
"Journal of International Agricultural Trade and Development","1556-8520","X",NA,NA
"Journal of International and Area Studies","1226-8550","X",NA,NA
"Journal of International and Global Economic Studies","1940-655X","X",NA,NA
"Journal of International Business and Economics","1544-8037","X","X",NA
"Journal of International Business Studies","0047-2506","X","X",NA
"Journal of International Commerce and Economics","2152-6877","X",NA,NA
"Journal of International Commerce, Economics and Policy","1793-9933","X","X",NA
"Journal of International Development","0954-1748","X",NA,NA
"Journal of International Economic Law","1369-3034","X",NA,NA
"Journal of International Economic Studies","0911-1247","X",NA,NA
"Journal of International Economics","0022-1996","X","X","X"
"Journal of International Entrepreneurship","1570-7385","X",NA,NA
"Journal of International Finance and Economics","1555-6336","X",NA,NA
"Journal of International Finance Studies","1945-2950","X",NA,NA
"Journal of International Financial Markets, Institutions and Money","1042-4431","X","X","X"
"Journal of International Management Studies","1930-6105","X",NA,NA
"Journal of International Money and Finance","0261-5606","X","X",NA
"Journal of International Research Publications: Economy and Business","1313-8006","X",NA,NA
"Journal of International Studies","2071-8330","X","X",NA
"Journal of International Trade and Economic Development","0963-8199","X",NA,"X"
"Journal of Investment Management","1545-9144","X",NA,NA
"Journal of Investment Strategies","2047-1238","X",NA,NA
"Journal of Islamic Business and Management","2075-6291","X",NA,NA
"Journal of Islamic Economics and Finance","2070-4658","X","X",NA
"Journal of Islamic Financial Studies","2469-259X","X",NA,NA
"Journal of King Abdulaziz University: Islamic Economics","7383-1018","X",NA,NA
"Journal of Knowledge Management, Economics and Information Technology","2247-7756","X",NA,NA
"Journal of Labor and Society","2667-3657","X",NA,NA
"Journal of Labor Economics","0734-306X","X","X","X"
"Journal of Labor Research","0195-3613","X",NA,NA
"Journal of Labour Market Research","1614-3485","X","X",NA
"Journal of Law and Economics","0022-2186","X","X","X"
"Journal of Law, Economics, and Organization","8756-6222","X","X","X"
"Journal of Law, Finance, and Accounting","2380-5005","X",NA,NA
"Journal of Legal Economics","1054-3023","X",NA,NA
"Journal of Legal Studies","0047-2530","X",NA,NA
"Journal of Macroeconomics","0164-0704","X","X","X"
"Journal of Management Accounting Research","1049-2127","X",NA,NA
"Journal of Management and Governance","1385-3457","X",NA,NA
"Journal of Management and Organization","1833-3672","X",NA,NA
"Journal of Management Sciences","2413-8657","X",NA,NA
"Journal of Management, Marketing and Logistics","2148-6670","X",NA,NA
"Journal of Marketing","0022-2429","X","X",NA
"Journal of Marketing Behavior","2326-568X","X",NA,NA
"Journal of Marketing Research","0022-2437","X","X",NA
"Journal of Markets and Morality","1098-1217","X",NA,NA
"Journal of Mathematical Economics","0304-4068","X","X","X"
"Journal of Mathematical Finance","2162-2434","X",NA,NA
"Journal of Media Economics","0899-7764","X","X",NA
"Journal of Mental Health Policy and Economics","1091-4358","X",NA,NA
"Journal of Monetary Economics","0304-3932","X","X","X"
"Journal of Money and Economy","1735-1057","X",NA,NA
"Journal of Money, Credit, and Banking","0022-2879","X","X","X"
"Journal of Money, Investment and Banking","1450-288X","X",NA,NA
"Journal of Multinational Financial Management","1042-444X","X","X",NA
"Journal of Network Theory in Finance","2055-7795","X",NA,NA
"Journal of Neuroscience, Psychology, and Economics","1937-321X","X",NA,"X"
"Journal of Ocean and Coastal Economics","2373-8456","X","X",NA
"Journal of Participation and Employee Ownership","2514-7641","X",NA,NA
"Journal of Peace Research","0022-3433","X",NA,NA
"Journal of Peace Science","0094-3738","X",NA,NA
"Journal of Pension Economics and Finance","1474-7472","X","X","X"
"Journal of Pharmaceutical Finance, Economics and Policy","1538-5698","X",NA,NA
"Journal of Philosophical Economics","1843-2298","X","X",NA
"Journal of Policy Analysis and Management","0276-8739","X",NA,"X"
"Journal of Policy Modeling","0161-8938","X","X","X"
"Journal of Policy Reform","1384-1289","X",NA,NA
"Journal of Political Economy","0022-3808","X","X","X"
"Journal of Population Economics","0933-1433","X","X","X"
"Journal of Portfolio Management","0095-4918","X","X",NA
"Journal of Post Keynesian Economics","0160-3477","X","X","X"
"Journal of Private Enterprise","0890-913X","X",NA,NA
"Journal of Productivity Analysis","0895-562X","X","X","X"
"Journal of Property Research","0959-9916","X",NA,NA
"Journal of Psychology and Financial Markets","1520-8834","X",NA,NA
"Journal of Public and International Affairs","1070-521X","X",NA,NA
"Journal of Public and Nonprofit Affairs","2381-3717","X",NA,NA
"Journal of Public Economic Theory","1097-3923","X","X","X"
"Journal of Public Economics","0047-2727","X","X","X"
"Journal of Public Finance and Public Choice","2515-6918","X",NA,NA
"Journal of Quantitative and Technical Economics","1000-3894","X",NA,NA
"Journal of Quantitative Economics","0971-1554","X",NA,NA
"Journal of Real Estate Finance and Economics","0895-5638","X","X","X"
"Journal of Real Estate Literature","0927-7544","X",NA,NA
"Journal of Real Estate Portfolio Management","1083-5547","X",NA,NA
"Journal of Real Estate Practice and Education","1521-4842","X",NA,NA
"Journal of Real Estate Research","0896-5803","X",NA,"X"
"Journal of Regional Analysis and Policy","1090-4999","X",NA,NA
"Journal of Regional Science","0022-4146","X",NA,"X"
"Journal of Regulatory Economics","0922-680X","X","X","X"
"Journal of Research in Economics","2636-8307","X",NA,NA
"Journal of Research in Pharmaceutical Economics","0896-6621","X",NA,NA
"Journal of Reviews on Global Economics","1929-7092","X",NA,NA
"Journal of Risk","1465-1211","X",NA,NA
"Journal of Risk and Control","2056-3701","X",NA,NA
"Journal of Risk and Financial Management","1911-8066","X",NA,NA
"Journal of Risk and Insurance","0022-4367","X","X","X"
"Journal of Risk and Uncertainty","0895-5646","X","X","X"
"Journal of Risk Finance","1526-5943","X",NA,NA
"Journal of Risk Model Validation","1753-9579","X","X",NA
"Journal of Self-Governance and Management Economics","2329-4175","X",NA,NA
"Journal of Small Business and Entrepreneurship","0827-6331","X",NA,NA
"Journal of Social and Administrative Sciences","2149-0406","X",NA,NA
"Journal of Social and Economic Development","0972-5792","X",NA,NA
"Journal of Social and Economic Policy","0973-3426","X",NA,NA
"Journal of Socio-Economics","1053-5357","X",NA,NA
"Journal of South Asian Development","0973-1741","X",NA,NA
"Journal of Southeast Asian Economies","2339-5095","X","X",NA
"Journal of Sports Economics","1527-0025","X",NA,"X"
"Journal of Sustainable Real Estate","1949-8276","X",NA,NA
"Journal of Technology Transfer","0892-9912","X",NA,NA
"Journal of the American Statistical Association","0162-1459","X",NA,NA
"Journal of the Asia Pacific Economy","1354-7860","X",NA,"X"
"Journal of the Association of Environmental and Resource Economists","2333-5955","X","X","X"
"Journal of the Chinese Statistical Association","0529-6528","X",NA,NA
"Journal of the Economics of Ageing","2212-828X","X","X","X"
"Journal of the Economics of Business","0962-1369","X",NA,NA
"Journal of the European Economic Association","1542-4766","X",NA,"X"
"Journal of the History of Economic Thought","1053-8372","X",NA,NA
"Journal of the Japanese and International Economies","0889-1583","X","X","X"
"Journal of the Knowldege Economy","1868-7865","X","X",NA
"Journal of the Korean Economy","1598-2750","X",NA,NA
"Journal of the Royal Statistical Society, Series A","0035-9238","X",NA,NA
"Journal of the Royal Statistical Society: Series A (Statistics in Society)","0964-1998","X","X",NA
"Journal of the Royal Statistical Society: Series B (Statistical Methodology)","1369-7412","X",NA,NA
"Journal of the Social Sciences","0253-1097","X",NA,NA
"Journal of the Statistical and Social Inquiry Society of Ireland","0081-4776","X","X",NA
"Journal of the Transportation Research Forum","1046-1469","X",NA,NA
"Journal of Time Series Analysis","0143-9782","X",NA,NA
"Journal of Time Series Econometrics","2194-6507","X","X",NA
"Journal of Transnational Management Development","1068-6061","X",NA,NA
"Journal of Transport Economics and Policy","0022-5258","X","X","X"
"Journal of Transportation and Statistics","1094-8848","X",NA,NA
"Journal of Urban Affairs","0735-2166","X",NA,NA
"Journal of Urban Economics","0094-1190","X","X","X"
"Journal of Urban Economics and Management","2345-2870","X",NA,NA
"Journal of Urban Management","2226-5856","X",NA,NA
"Journal of Wine Economics","1931-4361","X",NA,"X"
"Journal of Women's Entrepreneurship and Education","1821-1283","X",NA,NA
"Journal of World Business","1090-9516","X",NA,NA
"Journal of World Investment and Trade","1660-7112","X",NA,NA
"Journal of World Trade","1011-6702","X","X","X"
"Journal of World Trade Law","0022-5444","X",NA,NA
"Journal on Chain and Network Science","1569-1829","X",NA,NA
"Judgment and Decision Making","1930-2975","X","X",NA
"Juncture","1744-5396","X",NA,NA
"Jurnal Ekonomi Malaysia","0126-1962","X",NA,NA
"Kafkas Üniversitesi &Idot;ktisadi ve &Idot;dari Bilimler Fakültesi/Kafkas University Journal of Economics and Administrative Sciences Faculty","1309-4289","X",NA,NA
"Kansantaloudellinen Aikakauskirja","0022-8427","X",NA,NA
"KDI Journal of Economic Policy","2586-2995","X",NA,NA
"Keio Economic Studies","0022-9709","X",NA,NA
"Keizai Bunseki","0453-4727","X",NA,NA
"Kobe Economic and Business Review","0075-6407","X",NA,NA
"Kobe University Economic Review","0454-1111","X",NA,NA
"Kokumin-Keizai Zasshi","0387-3129","X",NA,NA
"Konjunkturpolitik","0023-3498","X",NA,NA
"Kredit und Kapital","0023-4591","X",NA,NA
"Kyklos","0023-5962","X","X","X"
"Kyoto Economic Review","1349-6786","X",NA,NA
"Kyoto University Economic Review","0023-6055","X",NA,NA
"L'Actualité Economique","0001-771X","X",NA,NA
"L'Impresa","0035-6816","X",NA,NA
"L'Industria","0019-7416","X",NA,NA
"La Questione Agraria","1593-8441","X",NA,NA
"La Revue des Sciences de Gestion","1160-7742","X",NA,NA
"La Revue du Financier","0223-0143","X",NA,NA
"Labor History","0023-656X","X",NA,NA
"Labour","1121-7081","X",NA,NA
"Labour Economics","0927-5371","X","X","X"
"Labuan Bulletin of International Business and Finance","1675-7262","X",NA,NA
"Lahore Journal of Economics","1811-5438","X",NA,NA
"Land Economics","0023-7639","X","X","X"
"Latin American Economic Review","2198-3526","X",NA,"X"
"Latin American Journal of Economics","0719-0425","X",NA,NA
"Latin American Journal of Trade Policy","0719-9368","X",NA,NA
"Latin American Politics and Society","1531-426X","X",NA,NA
"Law and Contemporary Problems","0023-9186","X",NA,NA
"Lecturas de Economia","0120-2596","X","X",NA
"Les Cahiers du CREAD","1012-0009","X",NA,NA
"Letters in Spatial and Resource Sciences","1864-4031","X","X",NA
"Liiketaloudellinen Aikakauskirja","0024-3469","X",NA,NA
"Lloyds Bank Review","0024-547X","X",NA,NA
"Local Economy","0269-0942","X",NA,NA
"Logistics and Transportation Review","0047-4991","X",NA,NA
"Macroeconomic Dynamics","1365-1005","X","X","X"
"Malayan Economic Review","0047-5599","X",NA,NA
"Malaysian Journal of Economic Studies","1511-4554","X",NA,NA
"Maliye Dergisi","1300-3623","X",NA,NA
"Management","1331-0194","X",NA,NA
"Management-Revue","0935-9915","X",NA,NA
"Management Accounting","0025-1690","X",NA,NA
"Management and Economics Review","2501-885X","X",NA,NA
"Management and Organization Review","1740-8776","X",NA,NA
"Management Dynamics in the Knowledge Economy","2392-8042","X",NA,NA
"Management Review Quarterly","2198-1620","X",NA,NA
"Management Science","0025-1909","X",NA,NA
"Managerial and Decision Economics","0143-6570","X",NA,"X"
"Managerial Economics","1898-1143","X",NA,NA
"Managerial Finance","0307-4358","X",NA,NA
"Managing Global Transitions","1581-6311","X",NA,NA
"Manchester School","1463-6786","X","X","X"
"Manchester School of Economic and Social Studies","0025-2034","X",NA,NA
"Manufacturing and Service Operations Management","1523-4614","X",NA,NA
"Margin","0025-2921","X",NA,NA
"Margin: The Journal of Applied Economic Research","0973-8010","X",NA,NA
"Marine Resource Economics","0738-1360","X","X","X"
"Maritime Economics and Logistics","1479-2931","X",NA,NA
"Maritime Policy and Management","0308-8839","X",NA,NA
"Market-Trzište","0353-4790","X",NA,NA
"Marketing Science","0732-2399","X","X",NA
"Marmara Avrupa Arastirmalari Dergisi/Marmara Journal of European Studies","1301-1359","X",NA,NA
"Marmara Journal of Economics","2528-8547","X",NA,NA
"Marmara Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi","1300-7262","X",NA,NA
"Marmara University Journal of Economic and Administrative Sciences","2149-1844","X",NA,NA
"Matekon","0025-1127","X",NA,NA
"Mathematical Finance","0960-1627","X","X","X"
"Mathematical Methods of Operations Research","1432-2994","X",NA,NA
"Mathematical Social Sciences","0165-4896","X",NA,"X"
"Mathematics and Financial Economics","1862-9679","X",NA,"X"
"Mednarodna Revija za Javno Upravo/International Public Administration Review","2335-3414","X",NA,NA
"Mercato Concorrenza Regole","1590-5128","X",NA,NA
"Methodus","1018-5070","X",NA,NA
"Metrika","0026-1335","X",NA,NA
"Metroeconomica","0026-1386","X","X","X"
"MIBES Transactions","2241-1526","X",NA,NA
"Michigan Academician","0026-2005","X",NA,NA
"Michigan Law Review","0026-2234","X",NA,NA
"Middle East Business and Economic Review","1035-3704","X",NA,NA
"Middle East Development Journal","1793-8120","X",NA,NA
"Middle East Technical University Studies in Development","1010-9935","X",NA,NA
"Middle Eastern Finance and Economics","1450-2889","X",NA,NA
"Migration Studies","2049-5838","X",NA,NA
"Mind and Society","1593-7879","X",NA,NA
"Mineral Economics","2191-2203","X",NA,NA
"MIR (Modernization. Innovation. Research)","2079-4665","X",NA,NA
"Mississippi Valley Journal of Business and Economics","0362-7985","X",NA,NA
"Mitteilungen aus der Arbeitsmarkt- und Berufsforschung","0340-3254","X",NA,NA
"MOCT-MOST: Economic Policy in Transitional Economies","1120-7388","X",NA,NA
"Modern Economy","2152-7245","X",NA,NA
"Momento Económico","0186-2901","X",NA,NA
"Mondes en Développement","0302-3052","X","X",NA
"Mondo Aperto","0026-9492","X",NA,NA
"Moneda y Crédito","0026-959X","X",NA,NA
"Moneta e Credito","0026-9611","X",NA,NA
"Monetary and Economic Studies","0288-8432","X",NA,NA
"Monetary Policy and the Economy","2309-1037","X",NA,NA
"Montenegrin Journal of Economics","1800-5845","X",NA,NA
"Monthly Labor Review","0098-1818","X",NA,NA
"Multinational Finance Journal","1096-1879","X",NA,NA
"Naše Gospodarstvo/Our Economy","0547-3101","X",NA,NA
"National Institute Economic Review","0027-9501","X",NA,NA
"National Tax Journal","0028-0283","X","X","X"
"National Westminster Bank Quarterly Review","0028-0399","X",NA,NA
"Nationaløkonomisk Tidsskrift","0028-0453","X",NA,NA
"Natural Resource Modeling","0890-8575","X",NA,NA
"Natural Resources Journal","0028-0739","X",NA,NA
"Nebraska Journal of Economics and Business","0747-5535","X",NA,NA
"Netnomics","1385-9587","X","X",NA
"Networks and Spatial Economics","1566-113X","X",NA,NA
"New Economy","1070-3535","X",NA,NA
"New Medit: Mediterranean Journal of Economics, Agriculture and Environment","1594-5685","X","X",NA
"New Political Economy","1356-3467","X",NA,"X"
"New York Economic Review","1090-5693","X",NA,NA
"New York University Journal of International Law and Politics","0028-7873","X",NA,NA
"New Zealand Economic Papers","0077-9954","X",NA,NA
"New Zealand Geographer","0028-8144","X",NA,NA
"Nigerian Journal of Economic and Social Studies","0029-0092","X","X",NA
"Nomura Research Institute Quarterly Economic Review","1340-7880","X",NA,NA
"Nonlinear Dynamics, Psychology, and Life Sciences","1090-0578","X",NA,NA
"Nonprofit and Voluntary Sector Quarterly","0899-7640","X",NA,NA
"Nonprofit Management and Leadership","1048-6682","X",NA,NA
"Nordic Economic Policy Review","1904-4526","X",NA,NA
"Nordic Journal of Business","2342-9003","X",NA,NA
"Nordic Journal of Political Economy","0345-8555","X",NA,NA
"Nordic Tax Journal","2246-1809","X",NA,NA
"North American Actuarial Journal","1092-0277","X","X",NA
"North American Journal of Economics and Finance","1062-9408","X","X","X"
"Notas Económicas","0872-4733","X",NA,NA
"Nova Economia","0103-6351","X",NA,NA
"OECD Economic Studies","0255-0822","X",NA,NA
"OECD Journal: Economic Studies","1995-2848","X",NA,NA
"OECD Journal: Journal of Business Cycle Measurement and Analysis","1995-2880","X",NA,NA
"Oeconomia","2113-5207","X",NA,NA
"Oeconomia Copernicana","2083-1277","X",NA,"X"
"Œconomica","1223-0685","X",NA,NA
"Oneri","1300-0845","X",NA,NA
"OPEC Energy Review","1753-0229","X",NA,NA
"OPEC Review","0277-0180","X",NA,NA
"Open Access Journal of Resistive Economics","2345-4954","X",NA,NA
"Open Economies Review","0923-7992","X","X","X"
"Operations Research","0030-364X","X",NA,NA
"OR Spectrum","0171-6468","X",NA,NA
"ORDO: Jahrbuch fur die Ordnung von Wirtschaft und Gesellschaft","0048-2129","X",NA,NA
"Oregon Business Review","0030-4638","X",NA,NA
"Organization and Environment","1086-0266","X",NA,NA
"Osaka Economic Papers","0473-4548","X",NA,NA
"Oxford Development Studies","1360-0818","X",NA,NA
"Oxford Economic Papers","0030-7653","X","X","X"
"Oxford Review of Economic Policy","0266-903X","X","X","X"
"Pacific-Basin Finance Journal","0927-538X","X","X",NA
"Pacific and Asian Journal of Energy","0970-3888","X",NA,NA
"Pacific Economic Bulletin","0817-8038","X",NA,NA
"Pacific Economic Review","1361-374X","X","X","X"
"Pakistan Business Review","1561-8706","X",NA,NA
"Pakistan Development Review","0030-9729","X",NA,NA
"Pakistan Economic and Social Review","1011-002X","X",NA,NA
"Pakistan Journal of Applied Economics","0254-9204","X",NA,NA
"Pakistan Journal of Commerce and Social Sciences","1997-8553","X","X",NA
"Panoeconomicus","1452-595X","X",NA,"X"
"Panorama Económico","0122-8900","X",NA,NA
"Papeles de Economía Española","0210-9107","X",NA,NA
"Papeles de Europa","1989-5917","X",NA,NA
"Papers in Regional Science","1056-8190","X",NA,"X"
"Peace Economics, Peace Science and Public Policy","1554-8597","X","X",NA
"Peace Research Society International Papers","0094-8055","X",NA,NA
"Pecunia","1699-9495","X",NA,NA
"Pennsylvania Economic Review","1531-0949","X",NA,NA
"Pensamiento Iberoamericano: Revista de Economía Política","0212-0208","X",NA,NA
"Pensamiento y Gestión","1657-6276","X",NA,NA
"Pensions: An International Journal","1478-5315","X",NA,NA
"Perfil de Coyuntura Económica","1657-4214","X",NA,NA
"Perspectives on Labour and Income","0840-8750","X",NA,NA
"Perspektiven der Wirtschaftspolitik","1465-6493","X",NA,NA
"Pesquisa e Planejamento Econômico","0100-0551","X",NA,NA
"Petroleum–Gas University of Ploiesti Bulletin: Economic Sciences Series","1224-6832","X",NA,NA
"PharmacoEconomics","1170-7690","X",NA,"X"
"Philippine Economic Journal","0031-7500","X",NA,NA
"Philippine Review of Economics","1655-1516","X",NA,NA
"Philippine Review of Economics and Business","0115-9011","X",NA,NA
"Policy","1032-6634","X",NA,NA
"Policy Analysis","0098-2067","X",NA,NA
"Policy Review","0146-5945","X",NA,NA
"Policy Sciences","0032-2687","X",NA,NA
"Policy Studies Journal","0190-292X","X",NA,NA
"Politica Economica","1120-9496","X","X",NA
"Political Science Quarterly","0032-3195","X",NA,NA
"Politická Ekonomie","0032-3233","X","X","X"
"Politics, Philosophy and Economics","1470-594X","X","X",NA
"Population","1634-2941","X",NA,NA
"Population and Development Review","0098-7921","X",NA,NA
"Population Bulletin","0032-468X","X",NA,NA
"Population Research and Policy Review","0167-5923","X",NA,NA
"Population Studies","0032-4728","X",NA,NA
"Portuguese Economic Journal","1617-982X","X","X","X"
"Poslovna Izvrsnost/Business Excellence","1846-3355","X",NA,NA
"Post-Communist Economies","1463-1377","X","X","X"
"Post-Soviet Affairs","1060-586X","X","X","X"
"Post-Soviet Geography and Economics","1088-9388","X",NA,NA
"Poverty and Public Policy","1944-2858","X",NA,NA
"Prabandhan: Indian Journal of Management","0975-2854","X",NA,NA
"Practical Issues in Management and Economics","1791-5767","X",NA,NA
"Prague Economic Papers","1210-0455","X","X","X"
